"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01361674" NA NA "Myrcia lacunosa" "L.S. Leoni" -42.0333333333333 -20.7666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000262064" 1930 NA "Myrcia lacunosa" "Barroso, G.M." -42.88 -20.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS132942" NA NA "Myrcia lacunosa" "Sem determinador" -42.0566666666667 -20.7602777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343461" NA NA "Myrcia lacunosa" "Sem determinador" -41.1 -19.02 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "G" "G00222214" NA NA "Myrcia lacunosa" "?" -45.44222222 -18.78777778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "18905" 2006 NA "Myrcia lacunosa" "" -42.05667 -20.76028 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "BHCB" "116874" 2006 NA "Myrcia lacunosa" "" -42.056667 -20.760278 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "183483" 2012 NA "Myrcia lacunosa" "Rosa, PO" -40.542828 -19.886064 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -43.25189972 -21.55080032 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -42.8461 -20.22 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -43.2519 -21.5508 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -42.01810074 -20.78109932 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -39.91749954 -16.59499931 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -42.56940079 -19.5821991 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -41.8328 -20.4797 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -42.0708 -18.4933 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -39.9175 -16.595 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -41.99969864 -20.67420006 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -42.61830139 -19.68420029 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -42.5694 -19.5822 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -41.8269 -18.1714 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -42.84609985 -20.21999931 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -43.31809998 -21.74830055 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -42.6183 -19.6842 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -43.3181 -21.7483 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -41.82690048 -18.17140007 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcia lacunosa" NA -42.07080078 -18.49329948 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -42.0181 -20.7811 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lacunosa" NA -41.9997 -20.6742 NA NA "BIEN" "6_no_criteria_met"
