"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32478" 2007 "2008-04-01" "Myrcia lajeana" "Sobral, M" -49.77 -26.19 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32481" 2010 "2010-08-15" "Myrcia lajeana" "Sobral, M" -49.3205555555556 -27.9905555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32483" 2012 "2013-01-15" "Myrcia lajeana" "Grizzon, M" -50.9294444444444 -28.9627777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32476" 2011 "2012-05-16" "Myrcia lajeana" "Grizzon, M" -50.9297222222222 -28.9641666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32479" 2015 "2015-02-04" "Myrcia lajeana" "Oliveira, AA de" -49.86 -27.9 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32477" 2007 "2008-04-01" "Myrcia lajeana" "Sobral, M" -49.8583333333333 -26.4594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024017" 2011 "2011-11-17" "Myrcia lajeana" "Lima, D.F." -48.9583333333333 -26.0308333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "P" "P00549410" 1965 NA "Myrcia lajeana" "Legrand" -49.7333333333333 -25.8 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0024018" 2011 "2011-11-17" "Myrcia lajeana" "Lima, D.F." -48.9533333333333 -26.05 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024014" 2012 "2012-02-28" "Myrcia lajeana" "Lima, D.F." -50.3147222222222 -29.265 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024013" 2012 "2012-02-28" "Myrcia lajeana" "Lima, D.F." -51.0719444444444 -29.3541666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616201" 1965 NA "Myrcia lajeana" "C. M. D. E. Legrand" -49.73 -25.8 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES022271" 2002 "2012-09-26" "Myrcia lajeana" "Grizzon, M." -50.4166666666667 -28.6677777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "HDCF" "6306" 2010 "2010-02-10" "Myrcia lajeana" "Figueira, M." -50.374225 -29.447333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MBM" "387701" 2013 NA "Myrcia lajeana" "Lima, DF" -50.020306 -24.466972 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBM" "394769" 2011 "2012-05-16" "Myrcia lajeana" "Grizzon, M" -50.929778 -28.96425 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UPCB" "79117" 2011 "2011-11-17" "Myrcia lajeana" "Lima, D.F." -48.95838 -26.03082 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UPCB" "79118" 2011 "2011-11-17" "Myrcia lajeana" "Lima, D.F." -48.95345 -26.04993 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UPCB" "79128" 2012 "2012-02-28" "Myrcia lajeana" "Lima, D.F." -51.071944 -29.354167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UPCB" "79129" 2012 "2012-02-28" "Myrcia lajeana" "Lima, D.F." -50.314722 -29.265 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUCS" "39755" 2012 "2013-01-15" "Myrcia lajeana" "Grizzon, M." -50.929325 -28.962811 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "EFC" "8210" 1995 "1998-03-10" "Myrcia lajeana" "Sobral, M." -50.7396 -27.9073 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FUEL" "51972" 2012 "2013-01-15" "Myrcia lajeana" "Grizzon, M" -50.929306 -28.962806 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MBML-HERBARIO" "44746" 2011 NA "Myrcia lajeana" "M. Grizzon/2012" -50.929778 -28.964444 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UEC" "189398" 2011 NA "Myrcia lajeana" "Lima, D.F." -48.9534 -26.0499 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UEC" "189410" 2011 NA "Myrcia lajeana" "Lima, D.F." -48.9583 -26.0308 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"LEB" "BRASIL" "81558-1" NA NA "Myrcia lajeana" "M.Sobral" -51.16 -29.17 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"ntt" NA NA NA NA "Myrcia lajeana" NA -50.6708 -26.7303 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lajeana" NA -49.8183 -28.5497 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lajeana" NA -49.7708 -26.5497 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lajeana" NA -50.4 -28.3503 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia lajeana" NA -49.715 -25.8158 NA NA "BIEN" "6_no_criteria_met"
