"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01376764" 2017 NA "Myrcia laruotteana" "D.F. Lima" -44.7602777777778 -22.3755555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEM" "HUEM000015380" 2014 "2014-11-19" "Myrcia laruotteana" "Barboza, E." -49.2030555555556 -25.4816666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0046021" 2010 NA "Myrcia laruotteana" "M.Sobral" -37.3925 -9.61861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32473" 2009 "2010-01-25" "Myrcia laruotteana" "Sobral, M" -52.0169444444444 -26.82 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32474" 2010 NA "Myrcia laruotteana" "Sobral, M" -48.6916666666667 -27.63 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331942" 1991 NA "Myrcia laruotteana" "Meira, J.A." -48.12 -22.27 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0024108" 2011 "2011-11-28" "Myrcia laruotteana" "Lima, D.F." -49.2238888888889 -25.2919444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343468" NA NA "Myrcia laruotteana" "Sobral, M." -49.5 -24.97 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343545" 1933 NA "Myrcia laruotteana" "Lucas, E." -47.12 -23.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024091" 2008 NA "Myrcia laruotteana" "Lima, D.F." -53.2111111111111 -22.7569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343471" 1981 NA "Myrcia laruotteana" "Proen  a, C.E" -47.92 -16.25 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343496" 1999 NA "Myrcia laruotteana" "Kawasaki, M.L." -44.87 -19.57 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS082720" NA NA "Myrcia laruotteana" "J.E.Q.Faria Júnior" -48.1666666666667 -15.5833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343480" NA NA "Myrcia laruotteana" "Sem determinador" -39.05 -14.82 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0021478" 2011 "2011-09-27" "Myrcia laruotteana" "Lima, D.F." -44.1538888888889 -21.0583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000020226" 2015 "2018-06-25" "Myrcia laruotteana" "L.C. Lannoy" -53.7922222222222 -25.52 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343891" 2003 NA "Myrcia laruotteana" "Sem determinador" -49.27 -24.23 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00826394" 2013 "2015-06-24" "Myrcia laruotteana" "M.SOBRAL" -43.5508333333333 -19.2575 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000433965" 1990 NA "Myrcia laruotteana" "E. Lucas" -64.35 -17.8333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343497" 2002 NA "Myrcia laruotteana" "Sobral, M." -43.42 -19.02 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0021479" 2011 "2011-08-25" "Myrcia laruotteana" "Lima, D.F." -52.3602777777778 -24.0186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01892326" 1964 NA "Myrcia laruotteana" "Sem determinador" -51.6166666666667 -26.7333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ESA" "ESA037749" NA NA "Myrcia laruotteana" "Freitas, F.O." -49.0436111111111 -24.2008333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343504" 1910 NA "Myrcia laruotteana" "Lucas, E." -49.7 -24.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00036590" 2005 NA "Myrcia laruotteana" "Rosa, P.O." -46.135 -20.3616666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016978" 2007 NA "Myrcia laruotteana" "J. Cordeiro  |  E.D. Lozano" -45.4675 -21.1086111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0021470" 2011 "2011-08-23" "Myrcia laruotteana" "Lima, D.F.S." -51 -23 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "DVPR" "DVPR002054" 2013 NA "Myrcia laruotteana" "Estevan, D.A." -53.0602777777778 -25.4130555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000020973" 2016 "2018-06-25" "Myrcia laruotteana" "L.C. Lannoy" -53.6486111111111 -25.0616666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0021930" 2009 NA "Myrcia laruotteana" "Proença, C" -37.39 -10.5505555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0024107" 1996 NA "Myrcia laruotteana" "Lima, D.S." -56.0541666666667 -23.7813888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS103755" NA NA "Myrcia laruotteana" "D.F.Lima" -38.6394444444444 -12.0258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616209" 1998 NA "Myrcia laruotteana" "M. L. Kawasaki" -46.84 -23.71 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343486" 1993 NA "Myrcia laruotteana" "Proen  a, C.E" -52.75 -18.32 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0021480" 2011 "2011-08-23" "Myrcia laruotteana" "Lima, D.F." -51.2386111111111 -23.4566666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000024358" 2017 "2018-06-25" "Myrcia laruotteana" "L.C. Lannoy" -52.1222222222222 -24.7866666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ESA" "ESA045497" NA NA "Myrcia laruotteana" "Sem determinador" -52.2 -15.05 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616222" 1965 NA "Myrcia laruotteana" "C. M. D. E. Legrand" -51.5233333333333 -25.3591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016964" 2012 "2012-09-12" "Myrcia laruotteana" "M.G. Caxambu" -52.7533333333333 -23.9152777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01892328" 1964 NA "Myrcia laruotteana" "Sem determinador" -51.3666666666667 -26.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343502" 2002 NA "Myrcia laruotteana" "Sobral, M." -46.95 -22.37 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01522798" 1933 NA "Myrcia laruotteana" "M. L. Kawasaki" -47.13 -23.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000017005" 2012 "2018-06-25" "Myrcia laruotteana" "L.C. Lannoy" -48.4261111111111 -25.6058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
