"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY01461094" 1980 NA "Myrcia minutiflora" "M. L. Kawasaki" -56.9288888888889 -0.926388888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01892417" 1965 NA "Myrcia minutiflora" "Sem determinador" -50.6333333333333 -2.55 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000652739" 2009 NA "Myrcia minutiflora" "Zappi, D.C.; Nic Lughadha, E." -55.88 -9.59 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K001240129" 2009 NA "Myrcia minutiflora" "Sem determinador" -55.8769444444444 -9.58944444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343787" 1986 NA "Myrcia minutiflora" "Holst, B.K." -67.33 -3.38 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461088" 1965 NA "Myrcia minutiflora" "B. K. Holst" -46.795 -1.63916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00192951" 2009 NA "Myrcia minutiflora" "Vasconcelos, TNC" -55.5236111111111 -9.35222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343788" 1966 NA "Myrcia minutiflora" "McVaugh, R." -59.97 -2.88 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01892413" 1986 NA "Myrcia minutiflora" "Sem determinador" -67 -3 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01461093" 1969 NA "Myrcia minutiflora" "R. McVaugh" -60.1833333333333 -2.41666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343780" 1965 NA "Myrcia minutiflora" "Holst, B.K." -46.48 -1.43 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00866747" 1971 NA "Myrcia minutiflora" "R. McVaugh" -72.58 -7.62 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01892408" 1980 NA "Myrcia minutiflora" "Sem determinador" -45.7166666666667 -2.76666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000579024" 2008 NA "Myrcia minutiflora" "Lucas, E.; Zappi, D.C." -55.81 -9.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343785" 1965 NA "Myrcia minutiflora" "McVaugh, R." -51.83 -3.42 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461097" 1961 NA "Myrcia minutiflora" "Sem determinador" -52.13 1.18 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01461091" 1997 NA "Myrcia minutiflora" "M. A. D. de Souza" -59.9666666666667 -2.88333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461095" 1966 NA "Myrcia minutiflora" "R. McVaugh" -59.9280555555556 -2.955 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461089" 1986 NA "Myrcia minutiflora" "B. K. Holst" -68.1977777777778 -3.36416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907887" 1980 NA "Myrcia minutiflora" "B. K. Holst" -45.72 -2.77 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343789" 1985 NA "Myrcia minutiflora" "Nic Lughadha, E." -45.25 -3.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
