"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01397224" 2016 NA "Myrcia mischophylla" "Sem determinador" -42.5522222222222 -14.5622222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00565297" 1999 NA "Myrcia mischophylla" "L. Kawasaki" -41.8113888888889 -13.5791666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000001491" 1995 NA "Myrcia mischophylla" "E.Nic Lughadha" -41.48 -12.43 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001489" 1994 NA "Myrcia mischophylla" "E.Nic Lughadha" -41.47 -12.45 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017640" 2007 NA "Myrcia mischophylla" "Rosa, P.O." -44.1555555555556 -17.3519444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00091538" 1992 NA "Myrcia mischophylla" "Nic Lughadha, E" -41.9 -13.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01374280" 2000 NA "Myrcia mischophylla" "M.F. Santos" -44.2833333333333 -17.6833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "P" "P04827968" 1977 NA "Myrcia mischophylla" "E. Lucas" -41.3166666666667 -12.9 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY02422738" 1972 NA "Myrcia mischophylla" "Sem determinador" -41.78 -13.55 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000001709" 1992 NA "Myrcia mischophylla" "E.Nic Lughadha" -41.85 -13.32 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "P" "P01036330" 1972 NA "Myrcia mischophylla" "Sem determinador" -41.7833333333333 -13.55 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907864" 1970 NA "Myrcia mischophylla" "M. L. Kawasaki" -44.1708333333333 -17.7588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00878497" 1980 NA "Myrcia mischophylla" "L. Jennings" -41.4666666666667 -12.45 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01142080" 2014 NA "Myrcia mischophylla" "J.E.Q. Faria" -43.3644444444444 -19.8897222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331575" 1980 NA "Myrcia mischophylla" "Lucas, E.; Murray-Smith, C." -41.25 -11.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000001452" 1981 NA "Myrcia mischophylla" "E.Nic Lughadha" -41.3 -13.7 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS163233" NA NA "Myrcia mischophylla" "M.Sobral" -41.1525 -13.2236111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01331563" 2014 NA "Myrcia mischophylla" "D.F. Lima" -41.3147222222222 -12.8963888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343306" 1997 NA "Myrcia mischophylla" "Sobral, M." -41.47 -13 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
