"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000343762" 1964 NA "Myrcia mollis" "Sobral, M." -55 -15.67 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461100" 1985 NA "Myrcia mollis" "M. L. Kawasaki" -52.52 -0.72 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343760" 1985 NA "Myrcia mollis" "Sobral, M." -55.7 -11.7 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS168695" NA NA "Myrcia mollis" "M.Sobral" -45.8269444444445 -11.8777777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01413912" 1993 NA "Myrcia mollis" "M. L. Kawasaki" -67.8097222222222 -9.97472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331750" 1966 NA "Myrcia mollis" "McVaugh, R." -72.78 -8.57 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00330902" 1995 NA "Myrcia mollis" "B. K. Holst" -68.0108333333333 -9.64138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343758" NA NA "Myrcia mollis" "McVaugh, R." -68.67 -9.07 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343764" 1985 NA "Myrcia mollis" "Sobral, M." -55.53 -12.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343763" 1985 NA "Myrcia mollis" "Sobral, M." -51.23 -10.17 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343761" 1968 NA "Myrcia mollis" "Sobral, M." -52.35 -14.67 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461099" NA NA "Myrcia mollis" "R. McVaugh" -65.3466666666667 -10.78 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
