"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"SPLINK" "INPA" "197134" 1987 NA "Myrcia nubicola" "Holst, BK" -59.95 5.416667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "332666" 1985 NA "Myrcia nubicola" "Holst, BK" -65.516667 3.716667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"US" "Botany" "3145943" 1987 NA "Myrcia nubicola" "McVaugh, R." -63.8 5.78 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3340564" 1987 NA "Myrcia nubicola" "Holst, Bruce K." -59.95 5.41667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3078989" 1983 NA "Myrcia nubicola" "" -62.15 5.3 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"US" "Botany" "2548797" 1951 NA "Myrcia nubicola" "McVaugh, R." -65.83 4.41 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2548629" 1950 NA "Myrcia nubicola" "McVaugh, R." -65.76 3.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2548628" 1950 NA "Myrcia nubicola" "" -65.7614 3.85944 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3201944" 1978 NA "Myrcia nubicola" "Holst" -63.71666 5.75 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3201632" 1978 NA "Myrcia nubicola" "McVaugh" -63.41666 5.98333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3201786" 1985 NA "Myrcia nubicola" "B.K. Holst" -65.51666 3.71666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3201308" 1987 NA "Myrcia nubicola" "B.K. Holst" -59.95 5.41666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3198550" NA NA "Myrcia nubicola" "B.K. Holst" -65.96666 4.23333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3198488" 1985 NA "Myrcia nubicola" "B.K. Holst" -65.98055 0.8625 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3197569" 1989 NA "Myrcia nubicola" "B.K. Holst" -64.53333 4.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3197350" 1987 NA "Myrcia nubicola" "B.K. Holst" -63.8 5.78333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3196932" 1973 NA "Myrcia nubicola" "" -63 3.66666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"K" "Herbarium" "K000343960" 1987 NA "Myrcia nubicola" "Holst, B.K." -59.95 5.42 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"K" "Herbarium" "K000330198" 1989 NA "Myrcia nubicola" "Holst, B.K." -64.53 4.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"ntt" NA NA NA NA "Myrcia nubicola" NA -65.6431 3.3342 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -65.8847 1.5703 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -66.7883 3.6844 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -64.2197 4.6817 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -65.6931 4.4189 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -65.1944 5.4967 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -62.1161 5.3025 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -64.4828 3.7108 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -65.4722 3.5989 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -66.4344 5.8694 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -62.1208 5.2106 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -65.8889 5.7108 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -60.9369 5.0678 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -65.9758 1.0125 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia nubicola" NA -65.5758 3.4842 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1985 NA "Myrcia nubicola" NA -65.5166667 3.7166667 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Myrcia nubicola" NA -60.7811 5.1511 NA NA "BIEN" "6_no_criteria_met"
