"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB32436" 2008 "2009-05-05" "Myrcia oblongata" "Gasper, AL de" -51.0286111111111 -27.7175 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32440" 2008 "2008-04-01" "Myrcia oblongata" "Sobral, M" -50.5794444444444 -27.9013888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32441" 2008 "2008-12-15" "Myrcia oblongata" "Verdi, M" -50.8497222222222 -28.035 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32442" 2008 "2008-04-01" "Myrcia oblongata" "Sobral, M" -50.58 -27.1847222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32448" 2012 "2013-04-03" "Myrcia oblongata" "Sobral, M" -50.5797222222222 -27.2905555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32430" 2008 "2008-12-12" "Myrcia oblongata" "Verdi, M" -50.7161111111111 -28.2141666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32431" 2009 "2009-04-16" "Myrcia oblongata" "Stival-Santos, A" -51.9302777777778 -26.64 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02548" 2008 NA "Myrcia oblongata" "Gasper, AL de" -51.48 -27.54 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32429" 2008 "2008-04-01" "Myrcia oblongata" "Sobral, M" -50.5786111111111 -27.6319444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32432" 2009 "2009-01-21" "Myrcia oblongata" "Verdi, M" -51.1627777777778 -27.6333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32453" 2011 "2015-07-10" "Myrcia oblongata" "Sobral, M" -51.2197222222222 -27.4094444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32449" 2012 "2013-12-21" "Myrcia oblongata" "Grizzon, M" -51.0655555555556 -28.9716666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32452" 2015 "2015-01-24" "Myrcia oblongata" "Oliveira, AA de" -50.3997222222222 -27.9002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32443" 2009 "2009-03-16" "Myrcia oblongata" "Verdi, M" -51.525 -27.5402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32433" 2008 "2008-04-01" "Myrcia oblongata" "Sobral, M" -50.5808333333333 -27.3591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32425" 2006 "2009-07-17" "Myrcia oblongata" "Sobral, M" -49.5483333333333 -27.0411111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32426" 2008 "2008-04-01" "Myrcia oblongata" "Sobral, M" -50.5802777777778 -27.4505555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32445" 2012 NA "Myrcia oblongata" "Verdi, M" -51.3441666666667 -28.4002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005410" 2012 NA "Myrcia oblongata" "M. Verdi" -51.3605555555556 -28.4708333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB32444" 2009 NA "Myrcia oblongata" "Sobral, M" -49.4091666666667 -28.7091666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB32454" 2014 "2015-06-19" "Myrcia oblongata" "Pastório, FF" -52.3894444444444 -26.8744444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
