"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-102488" 2013 NA "Myrcia popayanensis" "" -77.025278 2.145 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-102725" 2013 NA "Myrcia popayanensis" "" -75.937914 4.878389 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110335" 2014 NA "Myrcia popayanensis" "González, Roy" -75.727758 7.135297 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-110874" NA NA "Myrcia popayanensis" "" -77.056778 2.1195 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-111032" 2013 NA "Myrcia popayanensis" "" -75.97125 4.418639 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-111004" 2013 NA "Myrcia popayanensis" "" -73.573694 3.348278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-52374" 1996 NA "Myrcia popayanensis" "Anónimo" -75.585833 6.171944 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-63049" 2002 NA "Myrcia popayanensis" "Vargas, William" -75.645 4.691667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-63050" 2002 NA "Myrcia popayanensis" "Vargas, William" -75.62 4.692778 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-63048" 2002 NA "Myrcia popayanensis" "Vargas, William" -75.610278 4.704444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-64990" 2003 NA "Myrcia popayanensis" "Vargas, William" -75.563889 4.719719 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-64991" 2003 NA "Myrcia popayanensis" "Vargas, William" -75.652778 4.685278 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-64989" 2002 NA "Myrcia popayanensis" "Vargas, William" -75.563889 4.719722 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
