"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB34148" 2009 "2009-05-20" "Myrcia pulchra" "Vieira, FCS" -48.9458333333333 -26.0605555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005375" 2012 "2012-01-16" "Myrcia pulchra" "M. Verdi" -49.5247222222222 -29.0394444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB34151" 2014 "2014-08-20" "Myrcia pulchra" "Seubert, RC" -49.1969444444444 -27.1097222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB34144" 2008 "2008-04-01" "Myrcia pulchra" "Sobral, M" -49.2283333333333 -26.2780555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB57365" 2017 "2017-12-02" "Myrcia pulchra" "Schwirkowski, P." -49.4172222222222 -26.2211111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB34139" 2009 "2009-07-17" "Myrcia pulchra" "Sobral, M" -49.3166666666667 -27.5375 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CRI" "CRI005373" 2011 NA "Myrcia pulchra" "M. Verdi" -49.4130555555556 -28.9844444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB34146" 2010 "2010-08-15" "Myrcia pulchra" "Sobral, M" -49.3936111111111 -27.1802777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB34142" 2009 "2010-01-25" "Myrcia pulchra" "Korte, A" -49.3211111111111 -27.6313888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343890" 2003 NA "Myrcia pulchra" "Sem determinador" -50.25 -25.55 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
