"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "US" "US01892666" 1979 NA "Myrcia pyrifolia" "Sem determinador" -66.75 -0.666666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01462099" 1979 NA "Myrcia pyrifolia" "B. K. Holst" -66.75 -0.67 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344103" 1966 NA "Myrcia pyrifolia" "McVaugh, R." -58.02 -2.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344101" 1987 NA "Myrcia pyrifolia" "Holst, B.K." -55.93 -1.22 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461784" 1987 NA "Myrcia pyrifolia" "B. K. Holst" -68.65 -0.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461785" 1930 NA "Myrcia pyrifolia" "Sem determinador" -65.92 -0.25 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00866719" 1971 NA "Myrcia pyrifolia" "J. Mattos" -72.58 -7.62 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01462093" 1980 NA "Myrcia pyrifolia" "B. K. Holst" -57.0572222222222 -1.00416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01840305" 1986 NA "Myrcia pyrifolia" "B. K. Holst" -57.2166666666667 -1.15 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461786" 1947 NA "Myrcia pyrifolia" "Sem determinador" -66.7944444444444 -0.204444444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01461783" 1987 NA "Myrcia pyrifolia" "B. K. Holst" -55.7591666666667 -1.16472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3200278" 1979 NA "Myrcia pyrifolia" "Bruce K. Holst" -66.75 0.66666 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
