"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0007252" 1989 NA "Myrcia racemosa" "E.C.O.Chagas" -36.4972222222222 -10.1841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0062218" 2012 "2012-06-22" "Myrcia racemosa" "E.C.O.Chagas" -36.2852777777778 -10.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0058456" 2015 NA "Myrcia racemosa" "M.Sobral" -36.7863888888889 -9.54138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0035736" 2009 NA "Myrcia racemosa" "E.C.O.Chagas" -36.5 -10.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051461" 2010 NA "Myrcia racemosa" "B.S.Amorim" -35.5352777777778 -8.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0050650" 2010 NA "Myrcia racemosa" "M.Sobral" -36.4022222222222 -9.62055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0042145" 2009 NA "Myrcia racemosa" "M.Sobral" -36.5216666666667 -10.4 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051458" 2010 NA "Myrcia racemosa" "B.S.Amorim" -35.5 -8.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FLOR" "FLOR0064426" 2017 NA "Myrcia racemosa" "Mondin, C." -48.7352777777778 -26.0305555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005557" NA NA "Myrcia racemosa" "Sem determinador" -48.6163888888889 -26.1175 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616413" 1994 NA "Myrcia racemosa" "M. L. Kawasaki" -40.77 -20.87 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES012972" 1999 "1999-11-27" "Myrcia racemosa" "Rodrigues, I.D." -40.2422222222222 -19.5558333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
