"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01389818" 2018 "2018-08-10" "Myrcia ramuliflora" "D.F. Lima" -35.1919444444444 -5.81305555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0026522" 2008 NA "Myrcia ramuliflora" "M.Sobral" -38.4758333333333 -12.8686111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616435" 1992 NA "Myrcia ramuliflora" "G. M. Barroso" -42.47 -14.06 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01378346" 2016 "2018-06-08" "Myrcia ramuliflora" "Marcos Eduardo Guerra Sobral" -35.2294444444444 -5.84916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS160169" NA NA "Myrcia ramuliflora" "M.Sobral" -37.9086111111111 -12.3163888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0037210" 2014 NA "Myrcia ramuliflora" "Proença, CEB" -38.9916666666667 -13.1116666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS182947" NA NA "Myrcia ramuliflora" "M.Sobral" -38.9622222222222 -14.0136111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0029169" 2012 NA "Myrcia ramuliflora" "Proença, C" -36.5030555555556 -10.4111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS182927" NA NA "Myrcia ramuliflora" "M.Sobral" -37.4583333333333 -11.6127777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS182952" NA NA "Myrcia ramuliflora" "M.Sobral" -37.9783333333333 -12.5125 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
