"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB00601465" 2005 "2018-06-08" "Myrcia revolutifolia" "M.Sobral" -67.6 -8.26666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01370544" 1985 NA "Myrcia revolutifolia" "B.K. Holst" -65.7 3.6 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461788" 1978 NA "Myrcia revolutifolia" "B. K. Holst" -63.3747222222222 -0.901666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "FPR-COLOMBIA" "69106" NA NA "Myrcia revolutifolia" "" -65.6333333333333 1.4 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "FPR-COLOMBIA" "69104" NA NA "Myrcia revolutifolia" "" -65.8166666666667 1.53333333333333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "FPR-COLOMBIA" "69102" NA NA "Myrcia revolutifolia" "" -65.6333333333333 1.51666666666667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SP" "332682" 1991 NA "Myrcia revolutifolia" "Holst, BK" -67.566667 2.75 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "332686" 1987 NA "Myrcia revolutifolia" "Holst, BK" -65.783333 1.433333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "332687" 1987 NA "Myrcia revolutifolia" "Holst, BK" -65.633333 1.4 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-59288" 2000 NA "Myrcia revolutifolia" "Lucas, Eve" -72.605556 0.186389 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "FMB" "FMB-84115" 2000 NA "Myrcia revolutifolia" "Lucas, Eve" -72.623333 0.179722 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3197726" 1992 NA "Myrcia revolutifolia" "B.K. Holst" -72.66666 1.08333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"IAvH" "FMB" "FMB-99074" NA NA "Myrcia revolutifolia" "" -69.23978 2.63562 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Herbario Amazónico Colombiano" "COAH" "63949" NA NA "Myrcia revolutifolia" "Cárdenas, D." -67.788889 3.119444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Herbario Amazónico Colombiano" "COAH" "60236" NA NA "Myrcia revolutifolia" "Parra-O.,C." -73.94716 3.30948 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Herbario Amazónico Colombiano" "COAH" "77990" NA NA "Myrcia revolutifolia" "Montero, I." -72.758611 2.531111 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Herbario Amazónico Colombiano" "COAH" "63849" NA NA "Myrcia revolutifolia" "Cárdenas, L." -67.858056 3.808889 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Herbario Amazónico Colombiano" "COAH" "64985" NA NA "Myrcia revolutifolia" "Castaño-A., N." -72.700317 2.502917 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Universidad de Antioquia" "HUA" "96272" 1992 NA "Myrcia revolutifolia" "Parra C." -72.333333 -0.75 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "2548714" 1953 NA "Myrcia revolutifolia" "McVaugh, R." -66.06 5.66 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3026169" 1980 NA "Myrcia revolutifolia" "Holst, Bruce K." -67.6 4.9 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"US" "Botany" "3549967" 2006 NA "Myrcia revolutifolia" "Amorin, B. S." -59.3133 5.30028 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
