"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ESA" "ESA082331" NA NA "Myrcia rimosa" "Sobral, M. & Mazine, F.F." -43.5527777777778 -18.3125 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CEPEC" "41445" NA NA "Myrcia rimosa" "M. P. M. de Lima" -43.85 -16.2 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CEN" "72645" NA NA "Myrcia rimosa" "J. E. Q. Faria Júnior" -42.469166 -15.494166 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "55511" 1978 NA "Myrcia rimosa" "" -44.995108 -12.147747 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "55512" 1997 NA "Myrcia rimosa" "L. R. Landrum" -45.5606 -11.1086 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "55513" 1997 NA "Myrcia rimosa" "L. R. Landrum" -45.4656 -11.11 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "55514" 1973 NA "Myrcia rimosa" "M. Sobral, 1991." -53.2 -17.3167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "55949" 1991 NA "Myrcia rimosa" "" -44.6333 -13.3667 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "BHCB" "96394" 2002 NA "Myrcia rimosa" "" -43.552778 -18.3125 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "170895" 2011 "2014-09-07" "Myrcia rimosa" "Lima, DF" -44.368611 -16.223611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"MO" "MO" "1907582" 1999 NA "Myrcia rimosa" "L. Arroyo" -60.74694 -14.55777 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
