"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01346859" 2016 NA "Myrcia rufipes" "D. F. Lima" -43.8063888888889 -17.8916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01333352" 2014 NA "Myrcia rufipes" "D. F. Lima" -46.5302777777778 -20.3225 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "BRBA" "BRBA002721" 1999 NA "Myrcia rufipes" "Sem determinador" -40.1138888888889 -13.5263888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000344326" 1992 NA "Myrcia rufipes" "Nic Lughadha, E." -43.02 -16.87 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907912" NA NA "Myrcia rufipes" "C. M. D. E. Legrand" -43.7 -18.38 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331785" 2002 NA "Myrcia rufipes" "Lucas, E." -43.03 -16.05 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00036514" 2005 NA "Myrcia rufipes" "Rosa, P.O." -46.1925 -20.3727777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS108105" NA NA "Myrcia rufipes" "E.Lucas" -38.6333333333333 -10.8838888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344307" NA NA "Myrcia rufipes" "Kiaerskou, H.F.C." -43.88 -19.63 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01333374" 2014 NA "Myrcia rufipes" "D.F. Lima" -43.6194444444444 -18.1822222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344317" 1981 NA "Myrcia rufipes" "Kawasaki, M.L." -42.32 -19.18 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01018504" 2014 NA "Myrcia rufipes" "Sem determinador" -43.37 -19.8897222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000342826" 1981 NA "Myrcia rufipes" "Lucas, E." -43.6 -18.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01135014" 2002 NA "Myrcia rufipes" "DFLIMA" -42.9627777777778 -16.8372222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017836" 2007 NA "Myrcia rufipes" "Sem determinador" -43.27 -18.075 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000343442" NA NA "Myrcia rufipes" "Sem determinador" -43.2 -20.77 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000578701" 2006 NA "Myrcia rufipes" "Lucas, E." -55.92 -9.58 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000331768" 1984 NA "Myrcia rufipes" "Kawasaki, M.L." -43.65 -19 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344316" NA NA "Myrcia rufipes" "Sem determinador" -43.25 -21.8 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000344325" 1992 NA "Myrcia rufipes" "Nic Lughadha, E." -43 -16.83 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ESA" "ESA082957" NA NA "Myrcia rufipes" "Sobral, M." -43.5433333333333 -18.18 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344319" 1981 NA "Myrcia rufipes" "Kawasaki, M.L." -47.22 -19.87 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906887" 1982 NA "Myrcia rufipes" "M. L. Kawasaki" -43.67 -19.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344323" 1945 NA "Myrcia rufipes" "Lucas, E." -43.88 -19.9 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00878486" 1999 NA "Myrcia rufipes" "E.J. Lucas" -40.0577777777778 -19.1988888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY02422739" 1999 NA "Myrcia rufipes" "Sem determinador" -40.0191666666667 -19.1530555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616531" 1990 NA "Myrcia rufipes" "M. L. Kawasaki" -42.97 -16.58 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017695" 2007 NA "Myrcia rufipes" "Rosa, P.O." -44.1555555555556 -17.3519444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017696" 2007 NA "Myrcia rufipes" "Rosa, P.O." -43.4847222222222 -18.1802777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
