"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB34119" 2010 NA "Myrcia rupicola" "Sobral, M" -49.0497222222222 -26.1002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB34120" 2011 "2011-06-16" "Myrcia rupicola" "Korte, A" -49.86 -27.54 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB34121" 2011 "2011-06-16" "Myrcia rupicola" "Korte, A" -50.76 -27.72 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616532" 1997 NA "Myrcia rupicola" "M. Sobral" -48.97 -25.87 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0036469" 2009 NA "Myrcia rupicola" "Vieira, FCS" -48.9391666666667 -26.0675 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "55574" 1998 NA "Myrcia rupicola" "M. Sobral, 1999." -49.2661 -26.1936 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "55575" 1986 NA "Myrcia rupicola" "N. Silveira, 1992." -49.2167 -25.5167 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "56153" 1988 NA "Myrcia rupicola" "M. Sobral (specieslink at FURB)" -49.0833 -25.3667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "56160" 1977 NA "Myrcia rupicola" "M. Sobral (specieslink at MBM)" -49 -25.6667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "BHCB" "92160" 1997 NA "Myrcia rupicola" "" -48.956667 -25.890278 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "FURB" "34119" 2010 NA "Myrcia rupicola" "Sobral, M" -49.0497222 -26.1002778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "310874" 1996 NA "Myrcia rupicola" "" -45.004722 -23.406111 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UEC" "92429" 1996 NA "Myrcia rupicola" "Sobral, M.; Mazine, F.F." -45.0017 -23.1422 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "415756" 2001 NA "Myrcia rupicola" "M. Sobral" -44.65 -22.2469444444444 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"ntt" NA NA NA NA "Myrcia rupicola" NA -50.0383 -27.3614 NA NA "BIEN" "6_no_criteria_met"
