"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEFS" "HUEFS116334" NA NA "Myrcia stigmatosa" "M.Sobral" -39.4666666666667 -12.8666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000262198" NA NA "Myrcia stigmatosa" "Sem determinador" -39.05 -14.82 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01090539" 2004 NA "Myrcia stigmatosa" "M. Sobral" -39.115 -14.4997222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CEPEC" "100814" NA NA "Myrcia stigmatosa" "M. Sobral" -39.115 -14.499722 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01090539" 2004 NA "Myrcia stigmatosa" "M. Sobral" -39.115 -14.4997 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "BHCB" "111856" 2000 NA "Myrcia stigmatosa" "" -39.475833 -12.853611 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"UEFS" "HUEFS" "116334" 2007 NA "Myrcia stigmatosa" "M.Sobral" -39.466667 -12.866667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"ntt" NA NA NA NA "Myrcia stigmatosa" NA -39.1067 -14.49 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia stigmatosa" NA -39.0836 -14.7808 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia stigmatosa" NA -39.4525 -12.9528 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia stigmatosa" NA -39.2728 -14.7139 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia stigmatosa" NA -39.6639 -13.1147 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcia stigmatosa" NA -39.3383 -15.7422 NA NA "BIEN" "6_no_criteria_met"
