"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB00686529" 2011 NA "Myrcia subsessilis" "A. S. Rosário" -63.3413888888889 -0.874722222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "P" "P00552606" 1978 NA "Myrcia subsessilis" "McVaugh" -67.8333333333333 6.31666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01461842" 1986 NA "Myrcia subsessilis" "B. K. Holst" -58.7269444444444 -2.30666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01461844" 1977 NA "Myrcia subsessilis" "M. L. Kawasaki" -49.1177777777778 -5.36861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01478122" 1980 NA "Myrcia subsessilis" "M. Sobral" -57.0591666666667 -1.04083333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344460" NA NA "Myrcia subsessilis" "Scott, A.J." -67.1 2 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000344461" 1984 NA "Myrcia subsessilis" "Kawasaki, M.L." -51.62 -0.17 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344462" 1977 NA "Myrcia subsessilis" "Kawasaki, M.L." -50.5 -6.08 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3197462" 1984 NA "Myrcia subsessilis" "M.L. Kawasaki" -51.61666 0.16666 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01461842" 1986 NA "Myrcia subsessilis" "B. K. Holst" -58.7269878 -2.3065914 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01461843" 1984 NA "Myrcia subsessilis" "M. L. Kawasaki" -51.62 0.17 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "01461844" 1977 NA "Myrcia subsessilis" "M. L. Kawasaki" -49.1178 -5.3686 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "118402" 1981 NA "Myrcia subsessilis" "Sobral, MEG" -49.083333 -5.616667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "151891" 1986 NA "Myrcia subsessilis" "Holst, BK" -59 -2.25 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "55692" 1984 NA "Myrcia subsessilis" "M.L. Kawasaki, 1992." -51.6167 0.166667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "F_BOTANY_BR" "V0117784E" NA NA "Myrcia subsessilis" "" -52.8731 -10.8339 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "MFS" "002062" NA NA "Myrcia subsessilis" "" -56.076111 -2.224722 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SP" "320397" 1995 NA "Myrcia subsessilis" "Holst, BK" -60.404722 -14.808333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "334408" 1993 NA "Myrcia subsessilis" "Holst, BK" -60.766667 -14.666667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "484519" 2009 "2014-10-10" "Myrcia subsessilis" "L. Lima" -50.2977777777778 -6.01472222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
