"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00908170" 1966 NA "Myrcia suffruticosa" "C. M. D. E. Legrand" -47.6 -16.8402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000262396" NA NA "Myrcia suffruticosa" "Sem determinador" -49.57 -15.27 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00908168" 1965 NA "Myrcia suffruticosa" "C. M. D. E. Legrand" -47.7647222222222 -15.62 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01892972" 1965 NA "Myrcia suffruticosa" "Sem determinador" -48 -17 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00908169" NA NA "Myrcia suffruticosa" "C. M. D. E. Legrand" -47.6 -16.7319444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00908168" 1965 NA "Myrcia suffruticosa" "C. M. D. E. Legrand" -47.76472 -15.61995 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00908169" 1965 NA "Myrcia suffruticosa" "C. M. D. E. Legrand" -47.6 -16.73193 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00908170" 1966 NA "Myrcia suffruticosa" "C. M. D. E. Legrand" -47.6 -16.84036 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "101897" 1987 "2009-03-28" "Myrcia suffruticosa" "Faria, JEQ" -47.616667 -16.766667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "101995" 2002 NA "Myrcia suffruticosa" "Faria, JEQ" -47.6136 -16.7686 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "161604" 2009 NA "Myrcia suffruticosa" "Rosa, PO" -51.883889 -17.2775 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "5247" 1995 NA "Myrcia suffruticosa" "Rosa, PO" -47.666667 -16.75 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
