"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEFS" "HUEFS081950" NA NA "Myrcia sylvatica" "Sem determinador" -36.2519444444444 -9.83222222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0041378" 2009 "2016-11-22" "Myrcia sylvatica" "M.Figueira" -36.2019444444445 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0029708" 2006 "2011-05-12" "Myrcia sylvatica" "A.R.Lourenço" -40.5233333333333 -11.4522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0015057" 2001 NA "Myrcia sylvatica" "R.P.Lyra-Lemos" -36.2722222222222 -9.9925 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0022366" 2005 "2009-02-16" "Myrcia sylvatica" "E.C.O.Chagas" -35.9363888888889 -9.53972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0003790" 1984 "2009-02-17" "Myrcia sylvatica" "E.C.O.Chagas" -36.4519444444445 -9.6425 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0050746" 2011 "2011-01-13" "Myrcia sylvatica" "E.C.O.Chagas" -36.3686111111111 -9.95194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0048888" 2010 "2010-08-06" "Myrcia sylvatica" "E.C.O.Chagas" -36.3925 -9.83333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0022536" 2003 "2009-02-17" "Myrcia sylvatica" "E.C.O.Chagas" -36.5758333333333 -9.51861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0020184" 2002 NA "Myrcia sylvatica" "Sem determinador" -35.7913888888889 -9.24805555555555 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0051862" 2011 NA "Myrcia sylvatica" "M.C.S.Mota" -35.7244444444444 -9.275 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0040886" 2009 "2016-11-22" "Myrcia sylvatica" "M.Figueira" -35.3736111111111 -9.02277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0017402" 2003 "2009-02-17" "Myrcia sylvatica" "E.C.O.Chagas" -36.5591666666667 -10 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0031812" 2008 "2009-02-17" "Myrcia sylvatica" "E.C.O.Chagas" -35.9166666666667 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051764" 2010 NA "Myrcia sylvatica" "M.C.S.Mota" -36.5591666666667 -9.53527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0043796" 2009 "2009-09-10" "Myrcia sylvatica" "E.C.O.Chagas" -35.6666666666667 -9.11861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0050885" 2011 "2011-01-18" "Myrcia sylvatica" "E.C.O.Chagas" -36.8091666666667 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0043707" 2009 "2009-08-29" "Myrcia sylvatica" "E.C.O.Chagas" -35.9166666666667 -9.78527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0020935" 2004 NA "Myrcia sylvatica" "E.C.O.Chagas" -36.3788888888889 -9.9425 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0041079" 2009 "2009-04-29" "Myrcia sylvatica" "E.C.O.Chagas" -36.5 -9.45194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0021379" 2002 NA "Myrcia sylvatica" "Sem determinador" -36.0591666666667 -9 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0051462" 2010 NA "Myrcia sylvatica" "B.S.Amorim" -35.2019444444445 -8.97583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0022064" 2005 NA "Myrcia sylvatica" "M.Sobral" -36.2313888888889 -10.1161111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057631" 2014 NA "Myrcia sylvatica" "Sem determinador" -36.6694444444444 -9.40888888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0031661" 2005 "2009-07-30" "Myrcia sylvatica" "B.S.Amorim" -39.1333333333333 -13.7166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0052675" 2011 "2011-04-12" "Myrcia sylvatica" "E.C.O.Chagas" -36.2019444444445 -9.45194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0002566" 1983 "2009-02-17" "Myrcia sylvatica" "E.C.O.Chagas" -36.3925 -9.70194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0040154" 2003 "2003-01-16" "Myrcia sylvatica" "A.Melquíades" -35.5 -8.3925 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0021464" 2004 "2009-02-17" "Myrcia sylvatica" "E.C.O.Chagas" -39 -14.1666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
