"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0021974" 1983 NA "Myrcia tenuivenosa" "M.L.Kawasaki" -45.8794444444444 -23.6397222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUENF" "HUENF00010887" 2012 NA "Myrcia tenuivenosa" "Sem determinador" -41.4480555555556 -21.7972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02565" 2010 NA "Myrcia tenuivenosa" "Sobral, M" -48.78 -28.08 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB47800" 2013 "2013-10-11" "Myrcia tenuivenosa" "Barboza, E" -48.6047222222222 -25.6438888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS176597" NA NA "Myrcia tenuivenosa" "G.M.Barroso" -44.5666666666667 -22.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0023644" 2013 NA "Myrcia tenuivenosa" "Sobral, M." -40.5411111111111 -19.91 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0023620" 2005 "2005-01-01" "Myrcia tenuivenosa" "Sobral, M." -48.9833333333333 -25.4833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344634" NA NA "Myrcia tenuivenosa" "Sem determinador" -43.18 -22.5 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331770" 1969 NA "Myrcia tenuivenosa" "Sem determinador" -48.32 -25.28 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0023613" 2013 NA "Myrcia tenuivenosa" "Sobral, M." -40.5430555555556 -19.9088888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0023614" 2013 NA "Myrcia tenuivenosa" "Sobral, M." -40.5361111111111 -19.9669444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY1759018" 2012 NA "Myrcia tenuivenosa" "B. S. Amorim" -36.4247222222222 -9.24416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616599" 1945 NA "Myrcia tenuivenosa" "M. Kuhlmann" -46.6183333333333 -23.6461111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331816" 2003 NA "Myrcia tenuivenosa" "Sem determinador" -49.12 -25.17 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616600" 1968 NA "Myrcia tenuivenosa" "C. M. D. E. Legrand" -48.8341666666667 -25.4769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344636" 1942 NA "Myrcia tenuivenosa" "Legrand, C.D." -42.47 -22.72 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "G" "G00222002" NA NA "Myrcia tenuivenosa" "?" -42.9125 -22.48222222 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MOBOT_BR" "100638485" 2012 NA "Myrcia tenuivenosa" "B.S. Amorim" -36.4247223 -9.2441666 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "100706460" 2010 NA "Myrcia tenuivenosa" "B.S. Amorim" -35.1466666 -8.5536111 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "309127" 1987 NA "Myrcia tenuivenosa" "F. F. Mazine, May/" -46 -23.58333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3204422" 1990 NA "Myrcia tenuivenosa" "M.F. Santos" -40.5333333 -19.9666667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1759018" 2012 NA "Myrcia tenuivenosa" "B. S. Amorim" -36.4247 -9.2442 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616599" 1945 NA "Myrcia tenuivenosa" "M. Kuhlmann" -46.618358 -23.646109 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
