"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0026397" 2010 NA "Myrcia tomentosa" "Proença, C" -37.2508333333333 -11.2333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ALCB" "ALCB040305" 2016 NA "Myrcia tomentosa" "Guedes, ML" -40.95 -3.86666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01148526" 2014 NA "Myrcia tomentosa" "D.F. Lima" -47.7019444444445 -11.6897222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01204501" 2016 NA "Myrcia tomentosa" "D.F. Lima" -43.9344444444444 -17.9713888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0006500" 1987 NA "Myrcia tomentosa" "E.C.O.Chagas" -37 -10.4758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0024157" 2006 "2009-02-16" "Myrcia tomentosa" "E.C.O.Chagas" -35.9166666666667 -9.78527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0057203" 2012 NA "Myrcia tomentosa" "Sem determinador" -36.7863888888889 -9.54138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0057062" 2014 NA "Myrcia tomentosa" "Sem determinador" -36.4280555555556 -9.25611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0057022" 2014 NA "Myrcia tomentosa" "Sem determinador" -36.4280555555556 -9.25694444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0009878" 1998 NA "Myrcia tomentosa" "M.Sobral" -36.4972222222222 -10.1841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0034518" 2008 "2008-11-16" "Myrcia tomentosa" "E.C.O.Chagas" -36.2019444444445 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0035318" 2009 "2009-02-16" "Myrcia tomentosa" "E.C.O.Chagas" -35.9166666666667 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0021973" 1996 NA "Myrcia tomentosa" "Sem determinador" -46.7433333333333 -23.9911111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0062046" 2012 "2012-03-04" "Myrcia tomentosa" "M.C.S.Mota" -36.8091666666667 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
