"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "K" "K000342517" 1968 NA "Myrcia uberavensis" "Sem determinador" -51.87 -12.9 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUFU" "HUFU00017957" 2007 NA "Myrcia uberavensis" "Proença, C" -48.0044444444444 -16.4302777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01018470" 2003 NA "Myrcia uberavensis" "M. Sobral" -47.4602777777778 -20.2477777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342532" 1827 NA "Myrcia uberavensis" "Sobral, M." -46.42 -23.87 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342526" 1995 NA "Myrcia uberavensis" "Sem determinador" -48.28 -18.92 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "SPF" "SPF00220877" 2013 NA "Myrcia uberavensis" "Santos, MF" -46.3611111111111 -10.1719444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00018020" 2003 NA "Myrcia uberavensis" "Sobral, M" -47.1638888888889 -20.0927777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906917" 1966 NA "Myrcia uberavensis" "A. A. Arantes" -52.03 -16.4 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0023587" 2013 NA "Myrcia uberavensis" "Lima, D.F." -48.3011111111111 -18.9861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342529" 1995 NA "Myrcia uberavensis" "Sem determinador" -47.28 -18.92 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00906339" 1966 NA "Myrcia uberavensis" "P. O. Rosa" -52.2566666666667 -15.8902777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908223" 1966 NA "Myrcia uberavensis" "C. M. D. E. Legrand" -51.77 -17.35 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616639" 1964 NA "Myrcia uberavensis" "C. M. D. E. Legrand" -51.78 -17.2 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017956" 2012 NA "Myrcia uberavensis" "Sem determinador" -47.4688888888889 -18.4725 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000342533" 1966 NA "Myrcia uberavensis" "Sobral, M." -52.25 -15.92 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01522795" 1961 NA "Myrcia uberavensis" "M. L. Kawasaki" -47.5497222222222 -21.47 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343686" 1998 NA "Myrcia uberavensis" "Sem determinador" -52 -18.43 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00908224" 1997 NA "Myrcia uberavensis" "M. Sobral" -54.9019444444444 -18.9386111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ESA" "ESA044441" NA NA "Myrcia uberavensis" "Sobral, M." -55.04 -15.01 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS082612" NA NA "Myrcia uberavensis" "Sem determinador" -48.1558333333333 -13.5166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUFU" "HUFU00017991" 2008 NA "Myrcia uberavensis" "Rosa, P.O." -48.4002777777778 -17.4636111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342518" 1972 NA "Myrcia uberavensis" "Sem determinador" -52.33 -15.67 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01333368" 2014 NA "Myrcia uberavensis" "D.F. Lima" -46.2075 -20.6530555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017967" 2002 NA "Myrcia uberavensis" "Arantes, AA" -47.0941666666667 -19.1333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUFU" "HUFU00017990" 2002 NA "Myrcia uberavensis" "Arantes, AA" -47.0858333333333 -19.1361111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00906352" 1975 NA "Myrcia uberavensis" "M. L. Kawasaki" -51.8102777777778 -16.9569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01893091" 1960 NA "Myrcia uberavensis" "C.D. Legrand" -47.1166666666667 -22.1833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000342536" 1990 NA "Myrcia uberavensis" "Sem determinador" -47.88 -15.9 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01893086" 1964 NA "Myrcia uberavensis" "D. Legrand" -51.7833333333333 -17.2 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000342535" 1827 NA "Myrcia uberavensis" "Sobral, M." -46.98 -22.08 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00017989" 2002 NA "Myrcia uberavensis" "Arantes, AA" -47.0919444444444 -19.1244444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "IFRV" "401" 2012 "2013-01-01" "Myrcia uberavensis" "Marcos Sobral" -50.96775 -17.784139 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3190559" NA NA "Myrcia uberavensis" "" -51.86666 -12.9 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "00908224" 1997 NA "Myrcia uberavensis" "M. Sobral" -54.90181 -18.9385 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "1018470" 2003 NA "Myrcia uberavensis" "M. Sobral" -47.4603 -20.2478 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "INPA" "233341" 2008 NA "Myrcia uberavensis" "Proença, CEB" -47.620278 -16.733889 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
