"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00908208" 1966 NA "Myrcia vestita" "C. M. D. E. Legrand" -48 -17 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906455" 1984 NA "Myrcia vestita" "M. Sobral" -55.7494444444444 -15.4608333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01366222" 1991 "1997-04-27" "Myrcia vestita" "L.S. Leoni" -42.0333333333333 -20.7666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000344836" 1994 NA "Myrcia vestita" "Sobral, M." -52.38 -16.5 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344845" 1984 NA "Myrcia vestita" "Lucas, E.; Holst, B.K." -57.25 -15.65 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908205" 1965 NA "Myrcia vestita" "C. M. D. E. Legrand" -47.6 -16.7952777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS100568" NA NA "Myrcia vestita" "L.Funch" -41.4666666666667 -12.45 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ESA" "ESA083037" NA NA "Myrcia vestita" "Sobral, M." -43.5725 -20.1711111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908229" 1964 NA "Myrcia vestita" "C. M. D. E. Legrand" -52.22 -15.4 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906539" 1970 NA "Myrcia vestita" "B. S. Amorim" -46.8 -18.6666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906532" 1996 NA "Myrcia vestita" "P. O. Rosa" -54.05 -16.9833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344837" 1945 NA "Myrcia vestita" "Lucas, E." -41.7 -15.32 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344829" NA NA "Myrcia vestita" "Sobral, M." -50.13 -15.93 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00979202" 1970 NA "Myrcia vestita" "P. O. Rosa" -47.1541666666667 -17.0538888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0023754" 2014 NA "Myrcia vestita" "Lima, D.F." -49.0038888888889 -15.7830555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908172" 1968 NA "Myrcia vestita" "B. S. Amorim" -51.77 -12.82 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344833" NA NA "Myrcia vestita" "Sem determinador" -43.5 -20.37 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00908207" 1966 NA "Myrcia vestita" "C. M. D. E. Legrand" -50.0011111111111 -16.0611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00906740" 1973 NA "Myrcia vestita" "P. O. Rosa" -48.8086111111111 -15.7880555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000343729" NA NA "Myrcia vestita" "Lucas, E." -47 -8.33 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000344838" 1988 NA "Myrcia vestita" "Peron, M." -47.95 -19.6 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00906914" 1964 NA "Myrcia vestita" "A. Lourteig" -46.4302777777778 -15.6172222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01893138" 1966 NA "Myrcia vestita" "Sem determinador" -50 -14 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000344844" 1980 NA "Myrcia vestita" "Proen  a, C.E" -47.6 -14.13 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000344832" 1968 NA "Myrcia vestita" "Sobral, M." -51.75 -12.85 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
