"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEFS" "HUEFS141319" NA NA "Myrcia vittoriana" "M.Sobral" -39.2333333333333 -17.215 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES025809" 2012 NA "Myrcia vittoriana" "Sem determinador" -39.7427777777778 -18.6547222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0048232" 2010 "2010-05-14" "Myrcia vittoriana" "E.C.O.Chagas" -36.4022222222222 -9.62055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0007801" 1991 NA "Myrcia vittoriana" "M.Sobral" -40.0463888888889 -14.5547222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0036673" 2009 "2009-02-13" "Myrcia vittoriana" "E.C.O.Chagas" -36.5591666666667 -9.53527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0011004" 2000 NA "Myrcia vittoriana" "M.Sobral" -35.8127777777778 -9.24527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045828" 2010 "2010-01-29" "Myrcia vittoriana" "E.C.O.Chagas" -36.6186111111111 -9.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051924" 2011 NA "Myrcia vittoriana" "M.C.S.Mota" -35.7244444444444 -9.275 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0062965" 2014 "2014-02-04" "Myrcia vittoriana" "M.C.S.Mota" -35.8580555555556 -9.2275 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES026749" 2012 NA "Myrcia vittoriana" "Giaretta, A.O." -39.7038888888889 -18.4258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000332030" 1980 NA "Myrcia vittoriana" "Sem determinador" -39 -14.1 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00594988" 1993 NA "Myrcia vittoriana" "Sem determinador" -39.08 -15.15 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00594989" 1993 NA "Myrcia vittoriana" "G. M. Barroso" -39.0491666666667 -14.7891666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000012445" 1977 NA "Myrcia vittoriana" "Sem determinador" -39.22 -17.5 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00887418" 1972 NA "Myrcia vittoriana" "Sem determinador" -39.9611111111111 -19.1383333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00887414" 1972 NA "Myrcia vittoriana" "Sem determinador" -43.295 -22.9694444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K001240169" 2006 NA "Myrcia vittoriana" "Sem determinador" -40.0713888888889 -19.1522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0028504" 2012 "2014-09-10" "Myrcia vittoriana" "Siqueira, G.S." -40.0194444444444 -19.1658333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
