"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0017688" 1969 NA "Myrcianthes callicoma" "P.R.Legname" -65.1302777777778 -26.4830555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "ASE" "7727" 1969 NA "Myrcianthes callicoma" "P.R.Legname" -65.217589 -26.808286 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"MO" "MO" "969135" 1995 NA "Myrcianthes callicoma" "B.K. Holst" -64.48333 -17.9 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "969106" 1995 NA "Myrcianthes callicoma" "B.K. Holst" -64.51666 -17.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3368058" 2003 NA "Myrcianthes callicoma" "S. Altamirano" -64.73416 -17.84138 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3320279" 2005 NA "Myrcianthes callicoma" "M. Serrano (HSB)" -64.29888 -18.99194 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3320226" 2005 NA "Myrcianthes callicoma" "M. Serrano (HSB)" -64.33361 -19.00805 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3277055" 2004 NA "Myrcianthes callicoma" "B.K, Holst (SEL)" -64.594722 -22.01 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3191035" 1987 NA "Myrcianthes callicoma" "M. Serrano" -64.03333 -17.08333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3190874" 2003 NA "Myrcianthes callicoma" "L.R. Landrum (ASU)" -64.81361 -17.83861 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3188097" 1996 NA "Myrcianthes callicoma" "B.K. Holst" -64.73333 -17.816667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3187542" 2005 NA "Myrcianthes callicoma" "L.R. Landrum (ASU)" -64.58166 -22.01138 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "313109" 1992 NA "Myrcianthes callicoma" "I.G. Vargas" -64.4 -17.95 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "312989" 1992 NA "Myrcianthes callicoma" "L.R. Landrum (ASU)" -64.43333 -17.88333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312953" 1992 NA "Myrcianthes callicoma" "L.R. Landrum (ASU)" -64.433333 -17.883333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309498" 1989 NA "Myrcianthes callicoma" "L.R. Landrum (ASU)" -64.0975 -18.53166 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "307281" 1989 NA "Myrcianthes callicoma" "F. Grifo & B. Holst (MO)" -64.26666 -17.88333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1723439" NA NA "Myrcianthes callicoma" "I. G. Vargas '95" -64.53472 -17.81805 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1723430" 1995 NA "Myrcianthes callicoma" "M. Nee '91 (NY); L. Landrum '94" -64.08555 -18.51805 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1723341" 1997 NA "Myrcianthes callicoma" "M. Nee" -64.551389 -17.834167 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1723456" 2000 NA "Myrcianthes callicoma" "I. G. Vargas '96" -63.91527 -18.095 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1723447" NA NA "Myrcianthes callicoma" "L.R. Landrum (ASU)" -64.10333 -18.50888 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1536937" NA NA "Myrcianthes callicoma" "L. Landrum" -64.106944 -18.489722 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1521705" NA NA "Myrcianthes callicoma" "B. Holst, 1993,Landrum" -63.95 -18.10833 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100444303" 2011 NA "Myrcianthes callicoma" "G. A. Parada (USZ) 2011" -64.119167 -18.506667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100441343" 2010 NA "Myrcianthes callicoma" "M. Nee, 2010" -64.121389 -18.505556 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100370225" 2011 NA "Myrcianthes callicoma" "G. A. Parada (USZ) 2011" -63.917222 -18.676667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100312890" 2009 NA "Myrcianthes callicoma" "B. K. Holst (SEL)" -64.125 -18.505833 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"F" "Botany" "V0349111F" 1989 NA "Myrcianthes callicoma" "RRC ID Flag" -61.5 -17.5 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"F" "Botany" "V0121586F" NA NA "Myrcianthes callicoma" "" -64.435 -16.7261 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LIL" "HERB" "299110" NA NA "Myrcianthes callicoma" "Rotman, A. D." -65.87 -26.61 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"LIL" "HERB" "299102" NA NA "Myrcianthes callicoma" "Rotman, A. D." -65.63 -27.11 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"LIL" "HERB" "390036" NA NA "Myrcianthes callicoma" "-" -65.5 -28.92 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LIL" "HERB" "390035" NA NA "Myrcianthes callicoma" "-" -65.39 -28.42 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LIL" "HERB" "390031" NA NA "Myrcianthes callicoma" "-" -65.66 -28.09 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LIL" "HERB" "390030" NA NA "Myrcianthes callicoma" "-" -65.29 -27.71 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LIL" "HERB" "390029" NA NA "Myrcianthes callicoma" "-" -64.83 -26.51 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"ntt" NA NA NA NA "Myrcianthes callicoma" NA -65.6481 -27.0947 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcianthes callicoma" NA -65.6939 -26.8333 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Myrcianthes callicoma" NA -63.91999817 -20.46999931 NA NA "BIEN" "6_no_criteria_met"
