"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"SPLINK" "SP" "320402" 1994 NA "Myrcianthes fimbriata" "Holst, BK" -79.702222 -4.355278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "345838" 1996 NA "Myrcianthes fimbriata" "Hensold, N" -79.570833 -4.702278 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"MO" "MO" "308318" 1983 NA "Myrcianthes fimbriata" "F. Grifo" -78.796 -7.368 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "308326" 1983 NA "Myrcianthes fimbriata" "F. Grifo (BH)" -78.91666 -7.33333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "308880" 1987 NA "Myrcianthes fimbriata" "B.K. Holst (SEL)" -78.83333 -7.41666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311852" 1991 NA "Myrcianthes fimbriata" "B.K. Holst (MO)" -79.53333 -4.58333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3486243" 2007 NA "Myrcianthes fimbriata" "" -79.13638 -4.48888 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3188180" 1996 NA "Myrcianthes fimbriata" "B. Holst (SEL)" -79.55 -3.46666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312140" 1994 NA "Myrcianthes fimbriata" "B.K. Holst (SEL)" -79.70222 -4.35527 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312052" 1994 NA "Myrcianthes fimbriata" "B.K. Holst (SEL)" -79.68833 -4.32416 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312004" 1994 NA "Myrcianthes fimbriata" "B.K. Holst (SEL)" -79.9375 -4.08138 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"ntt" NA NA NA NA "Myrcianthes fimbriata" NA -78.2672 -6.5283 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcianthes fimbriata" NA -78.9967 -5.3008 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcianthes fimbriata" NA -79.2561 -6.0525 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcianthes fimbriata" NA -78.7486 -6.1497 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Myrcianthes fimbriata" NA -78.0817 -5.6403 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1991 NA "Myrcianthes fimbriata" NA -79.6 -5.4 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Myrcianthes fimbriata" NA -79.7183 -4.6142 NA NA "BIEN" "6_no_criteria_met"
