"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"SPLINK" "SP" "316647" 1993 NA "Myrcianthes myrsinoides" "Holst, BK" -64.547222 -17.818056 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)" "IAvH-CT" "IAvH-CT-16733" 2013 NA "Myrcianthes myrsinoides" "" -73.132722 5.856306 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3197856" 1988 NA "Myrcianthes myrsinoides" "L.R. Landrum" -76.49497 4.781732 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100699112" 2012 NA "Myrcianthes myrsinoides" "C. Parra (COL)" -76.15 6.616667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100699111" 2012 NA "Myrcianthes myrsinoides" "C. Parra (COL)" -76.157778 6.620833 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308827" 1986 NA "Myrcianthes myrsinoides" "F. Grifo (US)" -72.916667 7.366667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "308893" 1986 NA "Myrcianthes myrsinoides" "C. Parra (COL)" -73.5 10.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309639" 1983 NA "Myrcianthes myrsinoides" "F. Grifo (MO)" -78.63333 -6.46666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1146720" 1993 NA "Myrcianthes myrsinoides" "!L.R. Landrum (ASU)" -75.53333 6.58333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1146728" 1993 NA "Myrcianthes myrsinoides" "B.K. Holst (SEL)" -75.533333 6.583333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"COL" "COL" "80356" NA NA "Myrcianthes myrsinoides" "" -74.0403 11.1117 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"Universidad de Antioquia" "HUA" "107922" 1995 NA "Myrcianthes myrsinoides" "Holst B." -75.69421 6.74243 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"Universidad de Antioquia" "HUA" "180587" 2011 NA "Myrcianthes myrsinoides" "Díaz O." -75.653833 6.333333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"Universidad de Antioquia" "HUA" "83806" 1992 NA "Myrcianthes myrsinoides" "Holst B." -75.28466 5.76666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"UvA-IBED" "prm-pol-refcol" "HdVL7248" 2012 NA "Myrcianthes myrsinoides" "" -72.536 6.24 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
