"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01017118" 2014 NA "Myrcianthes osteomeloides" "Sem determinador" -64.055 -18.4555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "SP" "358197" 1999 NA "Myrcianthes osteomeloides" "Nee, M" -64.558333 -17.9 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "HUEFS" "219685" 2014 NA "Myrcianthes osteomeloides" "" -64.055 -18.455556 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"JBRJ" "RB" "RB00579789" 2002 NA "Myrcianthes osteomeloides" "M.Sobral" -66.816667 -17.066667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3369782" 2004 NA "Myrcianthes osteomeloides" "S. Altamirano" -64.69833 -17.83666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3369155" 2005 NA "Myrcianthes osteomeloides" "" -64.81194 -17.76083 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "3329416" 1997 NA "Myrcianthes osteomeloides" "A. Fuentes (LPB)" -67.15 -16.88333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3302123" 1999 NA "Myrcianthes osteomeloides" "M. Serrano (HSB)" -64.71666 -18.66666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3289498" 2004 NA "Myrcianthes osteomeloides" "S. Altamirano (BOLV), 10/" -64.61027 -17.82027 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3289416" 2005 NA "Myrcianthes osteomeloides" "E. Fernández (BOLV)" -66.72083 -16.69527 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3217294" 1928 NA "Myrcianthes osteomeloides" "Francesca Grifo, May" -63.53333 -17.91666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3216966" 1989 NA "Myrcianthes osteomeloides" "B.K. Holst" -67.16666 -16.91666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3212072" 1998 NA "Myrcianthes osteomeloides" "M. Mercado" -66.816389 -17.080278 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3211868" 2005 NA "Myrcianthes osteomeloides" "" -64.81194 -17.76111 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "313090" 1992 NA "Myrcianthes osteomeloides" "B.K. Holst & M. Serrano" -64.4 -17.95 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312983" 1992 NA "Myrcianthes osteomeloides" "B.K. Holst & M. Serrano" -64.43333 -17.88333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311619" 1988 NA "Myrcianthes osteomeloides" "B.K. Holst (MO)" -67.13333 -16.9 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311601" 1990 NA "Myrcianthes osteomeloides" "B.K. Holst" -67.116667 -16.866667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311586" 1990 NA "Myrcianthes osteomeloides" "B.K. Holst" -67.11666 -16.93333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311594" 1990 NA "Myrcianthes osteomeloides" "B.K. Holst" -67.16666 -16.88333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309565" 1989 NA "Myrcianthes osteomeloides" "F. Grifo (US)" -67.1 -16.916667 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "309425" 1989 NA "Myrcianthes osteomeloides" "M.L. Kawasaki" -64.1 -18.5 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "309193" 1989 NA "Myrcianthes osteomeloides" "Mr. Kawasaki" -64.11666 -18.41666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308638" 1990 NA "Myrcianthes osteomeloides" "B.K. Holst (MO)" -64.08527 -18.51805 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "307940" 1988 NA "Myrcianthes osteomeloides" "F. Grifo (US)" -67.18333 -16.8 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "307318" 1989 NA "Myrcianthes osteomeloides" "" -64.26666 -17.88333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1970797" 2004 NA "Myrcianthes osteomeloides" "M. Nee (NY)" -64.73777 -17.85611 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1863333" 1995 NA "Myrcianthes osteomeloides" "" -68.63333 -15.48333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1723549" 1997 NA "Myrcianthes osteomeloides" "!Holst" -64.66666 -18.05 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1535639" 1999 NA "Myrcianthes osteomeloides" "M. Nee" -64.51666 -17.86666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1535375" NA NA "Myrcianthes osteomeloides" "M. Nee (NY)" -63.95 -18.10833 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1533588" 1999 NA "Myrcianthes osteomeloides" "M. Nee (NY)" -64.53333 -17.85 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1533228" 1989 NA "Myrcianthes osteomeloides" "M. L. Kawasaki" -64.2 -18.21666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1527342" 1995 NA "Myrcianthes osteomeloides" "M. Nee" -64.31666 -18.06666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1525525" 1988 NA "Myrcianthes osteomeloides" "M. L. Kawasaki" -67.08333 -16.91666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1524857" NA NA "Myrcianthes osteomeloides" "B. Holst" -64.106944 -18.489722 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1396361" 1999 NA "Myrcianthes osteomeloides" "C. Antezana" -64.49472 -18.4675 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100800420" 1995 NA "Myrcianthes osteomeloides" "M. Nee" -64.662222 -18.055 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100541060" 2011 NA "Myrcianthes osteomeloides" "M. Nee, 2011" -64.2175 -18.430278 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100513983" 2007 NA "Myrcianthes osteomeloides" "B. K. Holst (SEL)" -66.818333 -17.085 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "100485880" 2012 NA "Myrcianthes osteomeloides" "" -64.196667 -18.210278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "100485899" 2012 NA "Myrcianthes osteomeloides" "" -64.073056 -18.2975 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "100482605" 2012 NA "Myrcianthes osteomeloides" "" -64.185833 -18.595278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "100444341" 2011 NA "Myrcianthes osteomeloides" "G. A. Parada (USZ) 2011" -64.31 -18.199722 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100443902" 2011 NA "Myrcianthes osteomeloides" "G. A. Parada (USZ) 2011" -64.2475 -18.699167 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100442956" 2010 NA "Myrcianthes osteomeloides" "M. Nee, 2010" -64.119444 -18.4925 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
