"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB33935" 2015 "2015-02-24" "Myrcianthes pungens" "Oliveira, AA de" -52.0197222222222 -27.18 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33934" 2008 NA "Myrcianthes pungens" "Gasper, AL de" -50.7161111111111 -28.2141666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33933" 2011 "2011-11-05" "Myrcianthes pungens" "Gasper, AL de" -49.1611111111111 -26.2891666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB56641" 2018 "2018-01-25" "Myrcianthes pungens" "Kassner-Filho, A." -49.6794444444444 -27.5394444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0023516" 1992 "1992-01-01" "Myrcianthes pungens" "Holst, B.K." -57.1333333333333 -25.9166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNOP" "UNOP000685" 2013 "2013-12-12" "Myrcianthes pungens" "Aguiar, O.T." -53.5336111111111 -25.2169444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNOP" "UNOP005904" 2009 "2009-11-17" "Myrcianthes pungens" "Temponi, L.G.; Minuzzo" -53.3711111111111 -25.0325 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00885676" 1963 NA "Myrcianthes pungens" "F. T. Grifo" -51.2247222222222 -27.4019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HDCF" "HDCF005911" 2008 "2008-11-09" "Myrcianthes pungens" "Santos, S. .R." -53.7172222222222 -29.7172222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01899252" 1964 NA "Myrcianthes pungens" "Sem determinador" -51.9666666666667 -27.2333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00885679" 1988 NA "Myrcianthes pungens" "L. R. Landrum" -51.61 -28.7841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01899254" 1964 NA "Myrcianthes pungens" "Sem determinador" -53.7833333333333 -27.1166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01899253" 1964 NA "Myrcianthes pungens" "Sem determinador" -53.5166666666667 -26.7166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00885674" 1964 NA "Myrcianthes pungens" "F. T. Grifo" -51.97 -27.23 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0023511" 1992 "1992-01-01" "Myrcianthes pungens" "Holst, B.K." -57.1333333333333 -25.8666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00885675" 1962 NA "Myrcianthes pungens" "F. T. Grifo" -51.0147222222222 -26.7755555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00885672" 1957 NA "Myrcianthes pungens" "F. T. Grifo" -50.9338888888889 -28.5122222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00885677" 1945 NA "Myrcianthes pungens" "F. T. Grifo" -51.1469444444444 -29.7605555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS082705" NA NA "Myrcianthes pungens" "Sem determinador" -47.9 -15.6333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00885673" 1964 NA "Myrcianthes pungens" "F. T. Grifo" -53.78 -27.12 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00605811" 2010 NA "Myrcianthes pungens" "M.SOBRAL" -56.7338888888889 -21.1111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01899251" 196 NA "Myrcianthes pungens" "Sem determinador" -51.75 -27.05 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUFU" "HUFU00018117" 1998 NA "Myrcianthes pungens" "Arantes, AA" -56.3811111111111 -21.1525 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "HDCF" "4275" NA NA "Myrcianthes pungens" "Alberti, L. F." -53.785556 -29.702778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "HDCF" "5911" 2008 "2008-11-09" "Myrcianthes pungens" "Santos, S. R." -53.717086 -29.717328 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CPAP" "18999" 1998 NA "Myrcianthes pungens" "M. L. Kawasaki" -56.433611 -21.3 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3204774" 1964 NA "Myrcianthes pungens" "Francesca T. Grifo" -53.51666 -26.71666 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MOBOT_BR" "3207896" NA NA "Myrcianthes pungens" "L.R. Landrum em" -51.6 -28.78333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "885672" 1957 NA "Myrcianthes pungens" "F. T. Grifo" -50.9339 -28.5122 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "885675" 1962 NA "Myrcianthes pungens" "F. T. Grifo" -51.0147 -26.7756 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "885676" 1963 NA "Myrcianthes pungens" "F. T. Grifo" -51.2247 -27.4019 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "885677" 1945 NA "Myrcianthes pungens" "F. T. Grifo" -51.1469 -29.7606 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "885678" 1990 NA "Myrcianthes pungens" "L. R. Landrum" -51.61 -28.7842 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SINBIOTA" "35000004" NA NA "Myrcianthes pungens" "" -46.657398 -23.586399 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SINBIOTA" "50850034" NA NA "Myrcianthes pungens" "" -47.801998 -21.170601 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "MBM" "394089" 2012 "2012-09-17" "Myrcianthes pungens" "Selusniaki, M" -50.706944 -24.100556 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CEN" "38566" NA NA "Myrcianthes pungens" "J. E. Q. Faria Junior & M. Ibrahim" -47.9 -15.63333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UPCB" "38418" 1992 "1992-01-01" "Myrcianthes pungens" "Holst, B.K." -57.133333 -25.866667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UPCB" "38419" 1992 "1992-01-01" "Myrcianthes pungens" "Holst, B.K." -57.133333 -25.916667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "56278" 1988 NA "Myrcianthes pungens" "L.R. Landrum, 1988." -51.6 -28.7833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "56287" 1991 NA "Myrcianthes pungens" "M. Sobral, 1992." -48.9167 -23.0833 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUFU" "23321" 1998 NA "Myrcianthes pungens" "Arantes, A.A." -56.636389 -21.256667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "F_BOTANY_BR" "V0349125F" 1983 NA "Myrcianthes pungens" "RRC ID Flag" -54 -30 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "HUCS" "34361" 2008 NA "Myrcianthes pungens" "Zanotto, M." -52.721111 -27.341111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "HUCS" "36513" 2010 NA "Myrcianthes pungens" "Sobral, M." -51.065306 -28.968861 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "168292" NA NA "Myrcianthes pungens" "Sobral, M" -51.02 -30.08 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "168293" 1996 NA "Myrcianthes pungens" "Arantes, AA" -48.28 -18.92 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UB" "168295" 1946 NA "Myrcianthes pungens" "Barroso, GM" -46.64 -23.55 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "168298" 1933 NA "Myrcianthes pungens" "Cordeiro, I" -51.23 -30.03 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UB" "203965" 2013 NA "Myrcianthes pungens" "Faria, JEQ" -50.635556 -16.987778 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "33933" 2011 "2011-11-05" "Myrcianthes pungens" "Gasper, AL de" -49.1611111 -26.2891666 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "FURB" "33934" 2008 "2009-04-01" "Myrcianthes pungens" "Gasper, AL de" -50.7161111 -28.2141667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "FURB" "33935" 2015 "2015-02-24" "Myrcianthes pungens" "Oliveira, AA de" -52.0197223 -27.18 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "FURB" "56641" 2018 "2018-01-25" "Myrcianthes pungens" "Kassner-Filho, A." -49.6794445 -27.5394444 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "090917" NA NA "Myrcianthes pungens" "Sobral, M" -55.733333 -28.983333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ICN" "092304" 1987 NA "Myrcianthes pungens" "Daniel, A" -50.692222 -29.392778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "159740" NA NA "Myrcianthes pungens" "Molz, M" -50.935556 -29.599722 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ICN" "175136" 2011 "2011-02-04" "Myrcianthes pungens" "Pezzi, E" -50.222222 -29.662778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175139" 2011 "2011-02-08" "Myrcianthes pungens" "Pezzi, E" -51.1375 -30.071944 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175140" 2011 "2011-02-09" "Myrcianthes pungens" "Pezzi, E" -52.899444 -30.0325 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175142" 2011 "2011-02-09" "Myrcianthes pungens" "Pezzi, E" -52.890556 -30.426389 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175144" 2011 "2011-02-09" "Myrcianthes pungens" "Pezzi, E" -52.895556 -30.051667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175146" NA "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.711944 -28.549167 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175148" 2011 "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.703056 -28.546389 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175149" 2011 "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.715556 -28.556111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175150" 2011 "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.709444 -28.551667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175151" 2011 "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.69 -28.54 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175152" 2011 "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.690833 -28.541944 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175153" 2011 "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.689444 -28.541944 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175154" 2011 "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.691111 -28.538333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175155" 2011 "2011-03-02" "Myrcianthes pungens" "Pezzi, E" -51.683056 -28.529722 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175156" 2011 "2011-03-20" "Myrcianthes pungens" "Pezzi, E" -51.518611 -29.163056 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "175158" 2011 "2011-03-20" "Myrcianthes pungens" "Pezzi, E" -51.511667 -29.184722 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ICN" "179953" 2014 "2014-10-01" "Myrcianthes pungens" "" -53.932222 -27.461111 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
