"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0060937" 2006 NA "Myrciaria delicatula" "Sobral, M." -48.9711111111111 -26.0261111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FLOR" "FLOR0059681" 2014 "2017-02-24" "Myrciaria delicatula" "Sobral, M." -48.9533333333333 -26.0366666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FLOR" "FLOR0062258" 2013 NA "Myrciaria delicatula" "Cordeiro, J.; Felitto, G." -50.075 -28.4786111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33927" 2009 "2009-03-10" "Myrciaria delicatula" "Ceolin, LM" -51.5930555555556 -26.3058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33928" 2009 "2010-01-25" "Myrciaria delicatula" "Sobral, M" -53.2855555555556 -26.3088888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB57661" 2014 "2015-05-05" "Myrciaria delicatula" "Gonzatti, F." -50.8336111111111 -28.9 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33925" 2012 NA "Myrciaria delicatula" "Verdi, M" -51.3441666666667 -28.4002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33926" 2012 NA "Myrciaria delicatula" "Verdi, M" -51.3605555555556 -28.4708333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616697" 1945 NA "Myrciaria delicatula" "F. T. Grifo" -51.23 -30.0330555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616768" 1969 NA "Myrciaria delicatula" "C. M. D. E. Legrand" -50.6041666666667 -25.23 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000017028" 2012 NA "Myrciaria delicatula" "E. Barboza" -52.705 -23.9138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616889" 1996 NA "Myrciaria delicatula" "Sem determinador" -49.6355555555556 -25.5841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01899413" 1964 NA "Myrciaria delicatula" "Sem determinador" -51.3666666666667 -26.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00315114" 1983 NA "Myrciaria delicatula" "M. Sobral" -51.7833333333333 -17.9166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616707" 1989 NA "Myrciaria delicatula" "L. R. Landrum" -51.61 -28.7841666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616692" 1957 NA "Myrciaria delicatula" "C. M. D. E. Legrand" -53.18 -26.37 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000017031" 2013 NA "Myrciaria delicatula" "E. Barboza" -52.7427777777778 -23.9172222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616695" NA NA "Myrciaria delicatula" "M. L. Kawasaki" -46.6219444444444 -23.6544444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616694" 1946 NA "Myrciaria delicatula" "W. Hoehne" -46.6605555555556 -23.6280555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB50313" 2014 "2017-05-02" "Myrciaria delicatula" "M. Sobral" -48.9544444444444 -26.0391666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616769" 1973 NA "Myrciaria delicatula" "G. G. Hatschbach" -50.5841666666667 -25.0241666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616693" 1947 NA "Myrciaria delicatula" "W. Hoehne" -46.7019444444445 -23.7022222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616701" 1964 NA "Myrciaria delicatula" "C. M. D. E. Legrand" -51.37 -26.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES019059" 2009 NA "Myrciaria delicatula" "Sobral, M." -40.49 -20.0861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616890" 1960 NA "Myrciaria delicatula" "Sem determinador" -49.7663888888889 -29.0844444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907516" 1827 NA "Myrciaria delicatula" "M. Sobral" -46.5436111111111 -23.7741666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS184129" NA NA "Myrciaria delicatula" "J.E.Q.Faria" -43.4608333333333 -19.4963888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
