"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "CEPEC" "CEPEC00128420" 2010 NA "Myrciaria floribunda" "Sem determinador" -39.5661111111111 -15.3958333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES025826" 2012 NA "Myrciaria floribunda" "Sem determinador" -39.7808333333333 -18.6522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0021952" 1995 NA "Myrciaria floribunda" "Sem determinador" -52.2852777777778 -22.8686111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0029319" 1994 NA "Myrciaria floribunda" "M.L.Kawasaki" -47.0352777777778 -23.8925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0051457" 2010 NA "Myrciaria floribunda" "B.S.Amorim" -35.5 -8.08333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0023837" 2005 NA "Myrciaria floribunda" "R.Lemos" -36.5 -10.2019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0063743" 2017 NA "Myrciaria floribunda" "Sem determinador" -36.4166666666667 -9.80916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0021607" 2003 NA "Myrciaria floribunda" "E.C.O.Chagas" -36.4519444444445 -9.6425 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0049952" 2010 "2010-10-07" "Myrciaria floribunda" "E.C.O.Chagas" -36.8091666666667 -9.55916666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0050565" 2010 "2010-11-25" "Myrciaria floribunda" "E.C.O.Chagas" -36.4022222222222 -9.62055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0040008" 2009 "2009-05-20" "Myrciaria floribunda" "M.N.Rodrigues" -37.0352777777778 -9.70194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0056503" 2013 "2016-11-22" "Myrciaria floribunda" "M.Figueira" -36.2988888888889 -10.2155555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0017007" 2003 "2009-03-29" "Myrciaria floribunda" "E.C.O.Chagas" -36.3391666666667 -10.2894444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0041461" 2009 "2009-05-08" "Myrciaria floribunda" "E.C.O.Chagas" -36.6186111111111 -9.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0061737" 2016 NA "Myrciaria floribunda" "M.Sobral" -39.6138888888889 -12.6386111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0008675" 1993 NA "Myrciaria floribunda" "M.Sobral" -37 -10.4758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0003365" 1976 NA "Myrciaria floribunda" "I.Bemerguy" -48.8686111111111 -1.41666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0010613" 1999 NA "Myrciaria floribunda" "M.Sobral" -35.3736111111111 -9.02277777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0044424" 2009 "2016-11-11" "Myrciaria floribunda" "M.Figueira; B.Schindler" -36.5911111111111 -10.5147222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0017662" 2003 "2009-03-29" "Myrciaria floribunda" "E.C.O.Chagas" -36.5 -10.4758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0039619" 1983 NA "Myrciaria floribunda" "M.Sobral" -38.3686111111111 -11.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0052667" 2011 "2011-03-30" "Myrciaria floribunda" "E.C.O.Chagas" -36.0591666666667 -9 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
