"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB33910" 2010 "2010-10-07" "Myrciaria glazioviana" "Uller, HF" -49.0897222222222 -26.8858333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01391000" 2017 NA "Myrciaria glazioviana" "L.F. Gonçalves" -42.9994444444444 -22.4938888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390801" 2016 NA "Myrciaria glazioviana" "L.F. Gonçalves" -43.0786111111111 -22.5511111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390954" 2017 NA "Myrciaria glazioviana" "L.F. Gonçalves" -42.9994444444444 -22.4944444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02579" 2009 "2009-07-17" "Myrciaria glazioviana" "Sobral, M" -49.0519444444444 -27.2686111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01024609" 2014 NA "Myrciaria glazioviana" "Sem determinador" -40.4727777777778 -13.3886111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UNIP" "UNIP07554" 2010 "2010-07-26" "Myrciaria glazioviana" "Amorim, B.S." -35.0469444444444 -7.90861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01345225" 2008 "2008-04-28" "Myrciaria glazioviana" "A.A.M. de Barros" -43.0002777777778 -22.9152777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY1737989" 2012 NA "Myrciaria glazioviana" "B. S. Amorim" -36.4247222222222 -9.24416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01120407" 2010 NA "Myrciaria glazioviana" "M. da C. Souza" -43.5672222222222 -22.4947222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01386763" 2009 "2013-09-14" "Myrciaria glazioviana" "M. C. Souza" -43.0730555555556 -22.5472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01201144" 2016 NA "Myrciaria glazioviana" "Sem determinador" -43.4358333333333 -22.58 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01386812" 2012 "2013-09-13" "Myrciaria glazioviana" "M.C. Souza" -43.0658333333333 -22.5433333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
