"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0062259" 2013 NA "Myrciaria tenella" "Cordeiro, J." -50.0005555555556 -28.5033333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33896" 2012 "2012-12-02" "Myrciaria tenella" "Verdi, M" -53.0022222222222 -30.9808333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33898" 2015 "2015-01-24" "Myrciaria tenella" "Oliveira, AA de" -50.3997222222222 -27.9002777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01390803" 2016 NA "Myrciaria tenella" "L.F. Gonçalves" -43.0772222222222 -22.4852777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33899" 2012 "2012-12-01" "Myrciaria tenella" "Verdi, M" -52.7905555555556 -30.5930555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02581" 2010 "2010-08-15" "Myrciaria tenella" "Sobral, M" -48.7619444444444 -27.8788888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01397404" 2015 "2018-04-02" "Myrciaria tenella" "Equipe IFN-PA" -53.8666666666667 -1.13333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33900" 2013 "2013-08-22" "Myrciaria tenella" "Maçaneiro, JP" -48.8888888888889 -27.0986111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33895" 2008 "2010-01-25" "Myrciaria tenella" "Sobral, M" -50.6702777777778 -26.9997222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUENF" "HUENF00010643" 2017 NA "Myrciaria tenella" "Sem determinador" -41.0311111111111 -21.74 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33897" 2012 "2012-12-02" "Myrciaria tenella" "Verdi, M" -53.0522222222222 -30.9808333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33901" 2014 NA "Myrciaria tenella" "Maçaneiro, JP" -49.2108333333333 -27.1116666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01538504" NA NA "Myrciaria tenella" "L. R. Landrum" -49.7725 -4.00611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01902550" 1965 NA "Myrciaria tenella" "Sem determinador" -49.3333333333333 -24.1333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01538505" 1968 NA "Myrciaria tenella" "R. McVaugh" -52.6008333333333 -0.880833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616784" NA NA "Myrciaria tenella" "Sem determinador" -43.0083333333333 -22.5308333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00908459" 1987 NA "Myrciaria tenella" "M. L. Kawasaki" -46.08 -3.12 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0028487" 2011 "2012-02-13" "Myrciaria tenella" "Matos, GMA" -37.2080555555556 -10.4583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ESA" "ESA091557" NA NA "Myrciaria tenella" "Sobral, M." -48.1833333333333 -23.0333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES013917" 2007 "2012-08-01" "Myrciaria tenella" "Grizzon, M." -51.1794444444444 -29.1680555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01115414" 2016 NA "Myrciaria tenella" "M.SOBRAL" -40.4566666666667 -18.7691666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01348472" 2014 NA "Myrciaria tenella" "B.S. Amorim" -44.6130555555556 -22.7447222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0031354" 2003 NA "Myrciaria tenella" "Sobral, M." -49.9833333333333 -25.2333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RON" "RON00003593" 2010 NA "Myrciaria tenella" "Sem determinador" -46.2325 -20.1458333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616787" 1911 NA "Myrciaria tenella" "M. Sobral" -49.1575 -25.4197222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00935254" 2013 NA "Myrciaria tenella" "J.M.A. Braga" -41.0361111111111 -21.7613888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "EAC" "EAC0052795" 2012 "2012-06-06" "Myrciaria tenella" "Grizzon, M." -50.9305555555556 -28.9633333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01902551" 1964 NA "Myrciaria tenella" "Sem determinador" -53.7333333333333 -27.1666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01280115" 2004 NA "Myrciaria tenella" "A. S. do Rosário" -51.7638888888889 -1 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00084709" 1993 NA "Myrciaria tenella" "Proença, C" -52.75 -1.83111111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616788" 1951 NA "Myrciaria tenella" "M. Sobral" -44.6788888888889 -22.8405555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616786" 1977 NA "Myrciaria tenella" "Sem determinador" -49.83 -25.33 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616791" 1933 NA "Myrciaria tenella" "M. Sobral" -46.7244444444444 -23.5655555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01385462" 2017 "2018-06-08" "Myrciaria tenella" "Marcos Eduardo Guerra Sobral" -35.1002777777778 -7.01944444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
