"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0063856" 2014 "2014-09-21" "Myrrhinium atropurpureum" "Cordeiro, J." -50.0686111111111 -28.4805555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB02582" 2011 "2011-10-25" "Myrrhinium atropurpureum" "Sevegnani, L" -49.65 -27.9555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB58666" 2018 "2018-03-13" "Myrrhinium atropurpureum" "Kassner-Filho, A." -49.4066666666667 -28.0802777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33882" 2009 "2009-05-28" "Myrrhinium atropurpureum" "Verdi, M" -49.5802777777778 -28.5508333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33891" 2015 "2015-01-21" "Myrrhinium atropurpureum" "Oliveira, AA de" -49.4975 -27.9013888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33884" 2008 "2008-04-01" "Myrrhinium atropurpureum" "Sobral, M" -50.5808333333333 -27.3591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB57664" 2015 "2015-08-05" "Myrrhinium atropurpureum" "Gonzatti, F." -50.2127777777778 -29.9769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005306" 1996 NA "Myrrhinium atropurpureum" "Marcos Sobral" -49.3969444444444 -28.3933333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33893" 2009 NA "Myrrhinium atropurpureum" "Meirelles, J" -49.2369444444444 -25.4425 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33886" 2010 "2010-02-22" "Myrrhinium atropurpureum" "Verdi, M" -49.3191666666667 -28.3480555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005304" 1989 NA "Myrrhinium atropurpureum" "J. A. Jarenkow" -52.4841666666667 -31.7638888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33887" 2010 "2010-08-31" "Myrrhinium atropurpureum" "Verdi, M" -50.0052777777778 -25.2536111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI010105" 2011 "2014-09-20" "Myrrhinium atropurpureum" "Aline Votri Guislon" -49.4213888888889 -28.1369444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB52563" 2016 "2016-10-10" "Myrrhinium atropurpureum" "Uller, H.F." -50.7597222222222 -27.72 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB52573" 2016 "2016-10-04" "Myrrhinium atropurpureum" "Uller, H.F." -49.86 -28.08 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI005309" 2014 "2014-08-22" "Myrrhinium atropurpureum" "Aline Votri" -49.4247222222222 -28.5983333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33881" 2008 "2008-04-01" "Myrrhinium atropurpureum" "Sobral, M" -50.6708333333333 -26.7302777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33890" 2013 NA "Myrrhinium atropurpureum" "Grizzon, M" -50.9325 -28.9636111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33888" 2011 NA "Myrrhinium atropurpureum" "Valduga, E" -50.3438888888889 -30.3705555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000022141" 2015 "2015-09-23" "Myrrhinium atropurpureum" "M.L. Brotto" -49.2186111111111 -25.4116666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HDCF" "HDCF007206" 2015 "2015-08-23" "Myrrhinium atropurpureum" "Lerner, L." -53.7630555555556 -29.6188888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES002700" 1987 NA "Myrrhinium atropurpureum" "Barroso, G.M." -42.4908333333333 -22.5511111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "P" "P05209308" 1965 NA "Myrrhinium atropurpureum" "Sem determinador" -49.9333333333333 -28.35 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000022307" 2013 "2013-09-12" "Myrrhinium atropurpureum" "J.M. Silva" -49.2375 -25.4416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000017101" 2009 NA "Myrrhinium atropurpureum" "J. Cordeiro  |  E. Barboza" -51.555 -25.0463888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
