"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB56754" 2017 "2017-11-28" "Neomitranthes glomerata" "Funez, L.A." -49.3105555555556 -27.0013888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33873" 2007 "2009-07-17" "Neomitranthes glomerata" "Sobral, M" -49.1119444444444 -27.0077777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB48728" 2015 "2015-10-23" "Neomitranthes glomerata" "Oliveira, AA de" -49.0486111111111 -26.3697222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33871" 2009 "2010-01-25" "Neomitranthes glomerata" "Sobral, M" -49.14 -27.18 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33875" 2009 "2010-08-25" "Neomitranthes glomerata" "Sobral, M" -49.0494444444444 -26.8197222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33869" 2009 "2010-01-25" "Neomitranthes glomerata" "Sobral, M" -49.245 -26.9258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33870" 2009 "2010-01-25" "Neomitranthes glomerata" "Sobral, M" -49.0816666666667 -27.0575 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB51536" 2016 "2017-05-02" "Neomitranthes glomerata" "M. Sobral" -49.3788888888889 -26.9430555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33877" 2009 "2011-04-06" "Neomitranthes glomerata" "Oliveira, AA de" -48.9738888888889 -26.77 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB02587" 2009 "2010-01-25" "Neomitranthes glomerata" "Sobral, M" -49.3208333333333 -27.2716666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33878" 2009 "2015-07-10" "Neomitranthes glomerata" "Sobral, M" -48.7766666666667 -26.5480555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33874" 1998 "2009-07-17" "Neomitranthes glomerata" "Sobral, M" -48.8577777777778 -26.2533333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616883" 1968 "1986-01-01" "Neomitranthes glomerata" "C. E. B. Proença" -48.8341666666667 -25.4769444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "VIES" "VIES002693" 1987 NA "Neomitranthes glomerata" "Barroso, G.M." -42.4908333333333 -22.5511111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616862" 1989 NA "Neomitranthes glomerata" "L. H. Soares-Silva" -51.1627777777778 -23.3105555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616869" 1953 NA "Neomitranthes glomerata" "C. E. B. Proença" -48.9172222222222 -27.0983333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616863" 1956 NA "Neomitranthes glomerata" "C. E. B. Proença" -48.6941666666667 -27.775 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616870" 1956 NA "Neomitranthes glomerata" "C. E. B. Proença" -49.5177777777778 -27.0569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616865" 1954 NA "Neomitranthes glomerata" "Sem determinador" -48.6616666666667 -26.9080555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616885" 1984 NA "Neomitranthes glomerata" "Sem determinador" -43.0405555555556 -22.6530555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00778072" 2000 NA "Neomitranthes glomerata" "M. L. Kawasaki" -45.4097222222222 -23.6202777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "308032" 1987 NA "Neomitranthes glomerata" "F. F. Mazine, May" -46.93333 -24.25 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616862" 1989 NA "Neomitranthes glomerata" "L. H. Soares-Silva" -51.1628 -23.3106 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616863" 1956 NA "Neomitranthes glomerata" "C. E. B. Proença" -48.6678 -27.6456 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616865" 1954 NA "Neomitranthes glomerata" "" -48.6617 -26.9081 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
