"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "NY" "NY00616960" 1980 NA "Neomitranthes obscura" "M. Sobral" -41.7866666666667 -22.3708333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01389007" 2015 NA "Neomitranthes obscura" "L.F.Gonçalves" -43.0041666666667 -22.4711111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES002694" 1987 NA "Neomitranthes obscura" "Barroso, G.M." -42.4908333333333 -22.5511111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01135568" 2006 "2007-02-27" "Neomitranthes obscura" "C. Proença" -42.3277777777778 -22.925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01389001" 2015 NA "Neomitranthes obscura" "L.F.Gonçalves" -43.0033333333333 -22.4747222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000331214" NA NA "Neomitranthes obscura" "Sem determinador" -42.02 -22.88 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616882" 1958 NA "Neomitranthes obscura" "C. M. D. E. Legrand" -49.6430555555556 -27.2144444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616953" 1965 NA "Neomitranthes obscura" "Sem determinador" -43.3691666666667 -22.9952777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "VIES" "VIES018653" 2009 NA "Neomitranthes obscura" "A. Giaretta" -41.0247222222222 -21.0555555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616875" 1988 NA "Neomitranthes obscura" "G. M. Barroso" -42.8183333333333 -22.9194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00533260" 1993 NA "Neomitranthes obscura" "Sem determinador" -39.08 -15.15 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616876" 1968 NA "Neomitranthes obscura" "C. E. B. Proença" -42.0322222222222 -22.8747222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616881" 1978 NA "Neomitranthes obscura" "C. E. B. Proença" -42.3430555555556 -22.8730555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616880" 1982 NA "Neomitranthes obscura" "Sem determinador" -42.8652777777778 -22.9588888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907852" 2004 NA "Neomitranthes obscura" "M. Sobral" -39.0902777777778 -13.3288888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01181413" 2016 "2017-04-12" "Neomitranthes obscura" "Marcelo da Costa Souza" -42.4302777777778 -22.4019444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616877" 1972 NA "Neomitranthes obscura" "C. E. B. Proença" -43.2075 -22.9030555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NYBG_BR" "00907852" 2004 NA "Neomitranthes obscura" "M. Sobral" -39.0902778 -13.3288889 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616873" 1981 NA "Neomitranthes obscura" "C. E. B. Proença" -41.7867 -22.3708 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616875" 1988 NA "Neomitranthes obscura" "G. M. Barroso" -42.8183 -22.9194 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616877" 1972 NA "Neomitranthes obscura" "C. E. B. Proença" -43.2075 -22.9031 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616880" 1982 NA "Neomitranthes obscura" "" -42.865151 -22.958935 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "616881" 1978 NA "Neomitranthes obscura" "C. E. B. Proença" -42.3431 -22.8731 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "616882" 1958 NA "Neomitranthes obscura" "C. M. D. E. Legrand" -49.6431 -27.2144 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "57065" 1995 "1996-07-01" "Neomitranthes obscura" "C. Proenca" -37.029579 -10.91142 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "66539" 1982 NA "Neomitranthes obscura" "C. Proenca" -42.841469 -22.89952 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "66540" 1972 NA "Neomitranthes obscura" "C. Proenca" -43.358056 -22.942778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "UB" "168165" 1986 NA "Neomitranthes obscura" "Legrand, CD" -47.616667 -24.566667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "168168" 1965 NA "Neomitranthes obscura" "Proença, CEB" -43.21 -22.9 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "183766" 2010 NA "Neomitranthes obscura" "Proença, CEB" -42.46 -22.932222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "10711" 1995 NA "Neomitranthes obscura" "Marcelo da Costa Souza/29-10-2009" -40.530278 -19.971389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "10822" 1999 NA "Neomitranthes obscura" "Marcelo da Costa Souza/29-10-2009" -40.589167 -19.922222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "20352" 2003 NA "Neomitranthes obscura" "Marcelo da Costa Souza/29-10-2009" -40.553056 -19.9075 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "40880" 2008 "2009-06-15" "Neomitranthes obscura" "M.C.Souza" -41.496111 -20.668611 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SPSF" "11879" 1988 "2016-08-11" "Neomitranthes obscura" "O.T. Aguiar" -45.866667 -23.65 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "RBR" "42329" 2015 NA "Neomitranthes obscura" "L.F. Gonçalves" -43.0033333 -22.4747223 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RBR" "42894" 2015 NA "Neomitranthes obscura" "Soares, L.H." -43.5994444 -23.0486111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RBR" "42896" 2015 NA "Neomitranthes obscura" "Alverga, T.P.P." -43.6025 -23.0486111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RBR" "43657" 2013 NA "Neomitranthes obscura" "Alverga, T.P.P." -43.2552778 -22.9561111 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "HUEFS" "231134" 2014 NA "Neomitranthes obscura" "M.Souza" -41.411389 -22.140278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "415761" 2001 NA "Neomitranthes obscura" "" -43.1338888888889 -22.5961111111111 "PRESERVED_SPECIMEN" NA "JABOT" "4_sci_colection"
"JABOT" "RB" "209832" 1980 NA "Neomitranthes obscura" "M. Sobral" -46.4216666666667 -23.8197222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "473076" 2008 NA "Neomitranthes obscura" "M.Sobral" -41.6652777777778 -22.2533333333333 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "474972" 2008 "2008-11-26" "Neomitranthes obscura" "M.Souza" -42.2247222222222 -22.9397222222222 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "580266" 2010 "2010-10-15" "Neomitranthes obscura" "Marcelo Guerra Santos" -41.5947222222222 -22.235 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "580260" 2012 "2012-10-18" "Neomitranthes obscura" "Marcelo Guerra Santos" -42.8566666666667 -22.9608333333333 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "470956" 2005 NA "Neomitranthes obscura" "" -42.2141666666667 -22.9344444444444 "PRESERVED_SPECIMEN" NA "JABOT" "4_sci_colection"
"JABOT" "RB" "415725" 2005 "2005-02-22" "Neomitranthes obscura" "M.C.Souza" -43.6163888888889 -23.0461111111111 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "474958" 2008 "2008-11-26" "Neomitranthes obscura" "M.Souza" -42.2091666666667 -22.93 "PRESERVED_SPECIMEN" NA "JABOT" "1_det_by_spec"
"JABOT" "RB" "468080" 2005 NA "Neomitranthes obscura" "" -42.2169444444444 -22.9313888888889 "PRESERVED_SPECIMEN" NA "JABOT" "4_sci_colection"
