"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "VIES" "VIES014614" 1993 NA "Neomitranthes warmingiana" "Sem determinador" -40.36 -19.5608333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "57066" 1994 NA "Neomitranthes warmingiana" "M. Sobral" -40.933333 -20.483333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "10525" 1999 NA "Neomitranthes warmingiana" "M. Sobral, 2001" -40.6075 -19.931389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "10962" 1994 NA "Neomitranthes warmingiana" "M. Sobral/1995" -40.749444 -20.635278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "10998" 1995 NA "Neomitranthes warmingiana" "M. Sobral/Dez.2002" -40.530278 -19.971389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "18016" 2002 NA "Neomitranthes warmingiana" "M. Sobral/Dez.2002" -40.553056 -19.9075 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "7688" 1998 NA "Neomitranthes warmingiana" "M. Sobral/1998" -40.472222 -19.914167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "7696" 1998 NA "Neomitranthes warmingiana" "M. Sobral/1998" -40.596389 -20.054167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "7701" 1998 NA "Neomitranthes warmingiana" "M. Sobral/1998" -40.534444 -19.950556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "10493" 1999 NA "Neomitranthes warmingiana" "Marcelo da Costa Souza/29-10-2009" -40.635556 -19.925556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "10524" 1999 NA "Neomitranthes warmingiana" "Marcelo da Costa Souza/29-10-2009" -40.6075 -19.931389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "11924" 1999 NA "Neomitranthes warmingiana" "Marcelo da Costa Souza/29-10-2009" -40.530278 -19.971389 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "14967" 2001 NA "Neomitranthes warmingiana" "Marcelo da Costa Souza/29-10-2009" -40.583333 -19.984167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBML-HERBARIO" "16981" 2002 NA "Neomitranthes warmingiana" "Marcelo da Costa Souza/29-10-2009" -40.553056 -19.9075 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"JABOT" "RB" "647678" 2015 NA "Neomitranthes warmingiana" "Sousa, M.C." -43.4216666666667 -22.5391666666667 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JBRJ" "RB" "RB01115783" 2015 NA "Neomitranthes warmingiana" "Sousa, M.C." -43.421667 -22.539167 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"dryflor" NA NA NA NA "Neomitranthes warmingiana" NA -46.34780121 -22.08060074 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -42.9503 -22.4544 NA NA "BIEN" "6_no_criteria_met"
"dryflor" NA NA NA NA "Neomitranthes warmingiana" NA -43.7030983 -21.19059944 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -41.1736 -20.3028 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -45.3575 -22.5439 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -42.7317 -22.3628 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -43.7031 -21.1906 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -43.2872 -22.94412 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -49.1283 -24.9686 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -40.9161 -20.4497 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -50.2172 -24.1747 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -45.8311 -23.5686 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -45.8028 -23.6756 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -40.5022222222222 -20.1494 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -40.4322222222222 -19.945 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -46.325 -23.7689 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -46.3478 -22.0806 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -40.6153 -19.9211 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -46.0406 -23.7053 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -44.3933 -22.8253 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Neomitranthes warmingiana" NA -46.7286 -23.5658 NA NA "BIEN" "6_no_criteria_met"
