"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"NY" "NY" "1437757" NA NA "Pimenta cainitoides" "" -76.064722 20.016407 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "84434" 1915 NA "Pimenta cainitoides" "" -75.738379 20.441815 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"ntt" NA NA NA NA "Pimenta cainitoides" NA -70.7564 19.5786 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Pimenta cainitoides" NA -76.9744 19.9989 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Pimenta cainitoides" NA -70.5236 19.0533 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Pimenta cainitoides" NA -70.3394 18.4639 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Pimenta cainitoides" NA -76.5922 20.0539 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Pimenta cainitoides" NA -76.0186 20.0078 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Pimenta cainitoides" NA -75.6231 20.0122 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Pimenta cainitoides" NA -71.4683 19.2811 NA NA "BIEN" "6_no_criteria_met"
