"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "1441130" 1975 NA "Pimenta dioica" "P.C. Sánchez V." -91.0375 17.5 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1441126" 1980 NA "Pimenta dioica" "" -89.02 18.1 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"UNICACH" "HEM" "HEM 3216" 1990 NA "Pimenta dioica" "O.T." -93.364722 16.766111 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 754" 2000 NA "Pimenta dioica" "C.Y.D.P." -93.375 17.208333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UNICACH" "HEM" "HEM 3226" 1991 NA "Pimenta dioica" "N.R.M." -91.119444 16.813889 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "44334" 1997 NA "Pimenta dioica" "J.L. López G." -91.126944 16.757222 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"UACh" "CHAP" "26958" 1983 NA "Pimenta dioica" "P. Sánchez P." -92.366667 17.169444 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100877759" 2003 NA "Pimenta dioica" "E. Martínez S." -91.270556 17.020833 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"CNS-UT" "TEX" "00213464" 1996 NA "Pimenta dioica" "E. M. Martínez S." -89.355 17.971111 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"CNS-UT" "TEX" "00266131" 1983 NA "Pimenta dioica" "E. Cabrera C." -88.884258 17.957003 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100369483" 2002 NA "Pimenta dioica" "C.H. Ramos" -91.316667 17.017778 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100423211" 2008 NA "Pimenta dioica" "A. Acebey" -96.861389 19.78 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100423222" 2008 NA "Pimenta dioica" "M. Vazquez" -96.724167 19.893333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IBUNAM" "MEXUw" "MEXU 466" 1983 NA "Pimenta dioica" "IMG" -95.158333 18.608333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"CNS-UT" "TEX" "00266130" 1990 NA "Pimenta dioica" "A. C. Sanders" -89.016667 18.133333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"CNS-UT" "TEX" "00213462" 1997 NA "Pimenta dioica" "E. M. Martínez S." -89.327531 17.951092 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"CNS-UT" "TEX" "00213463" 1997 NA "Pimenta dioica" "E. M. Martínez S." -89.292103 18.810561 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IBUNAM" "MEXU" "367697" 1983 NA "Pimenta dioica" "E. F. Cabrera C." -88.331944 18.773611 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IBUNAM" "MEXU" "615692" 1984 NA "Pimenta dioica" "E. F. Cabrera C." -88.525 19.008333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IBUNAM" "MEXU" "367661" 1982 NA "Pimenta dioica" "E. F. Cabrera C." -89.022222 18.115278 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IBUNAM" "MEXU" "276165" 1980 NA "Pimenta dioica" "O. Téllez V." -89.025 18.108333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"IHNE" "CHIP" "17068" 1991 NA "Pimenta dioica" "N. Ramírez M.; M. J. Díaz" -91.130278 16.760555 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"USF" "Herb" "186713" 1985 NA "Pimenta dioica" "" -88.4333 18.05 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"LAGU" "Herbarium LAGU" "JBL06379" 2008 NA "Pimenta dioica" "P.Galán (?) 2008-04-11" -89.53333 13.75 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"LAGU" "Herbarium LAGU" "RV-00340" 1989 NA "Pimenta dioica" "R.Villacorta (LAGU) 1989" -89.71667 13.83333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"USF" "Herb" "280207" 2015 NA "Pimenta dioica" "" -77.4 18.2031 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"USF" "Herb" "280109" 2015 NA "Pimenta dioica" "" -77.5314 18.06 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"US" "Botany" "3366337" 1997 NA "Pimenta dioica" "Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)" -77.5314 18.0592 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3461254" 1967 NA "Pimenta dioica" "J.M. Aguilar C" -90.145 16.73666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "313025" 1986 NA "Pimenta dioica" "B. Holst (MO)" -89.71638 16.99611 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "312559" 1980 NA "Pimenta dioica" "P. Sanchez" -86.3 13 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "311245" 1992 NA "Pimenta dioica" "" -89.15 16.383333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "311071" 1983 NA "Pimenta dioica" "W. D. Stevens" -86.36666 12.98333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "309745" 1985 NA "Pimenta dioica" "L.R. Landrum" -79.116667 9.4 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308782" 1984 NA "Pimenta dioica" "P. Sanchez" -86.28333 12.98333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "308351" 1982 NA "Pimenta dioica" "P. Sanchez V" -86.25 13.25 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "307618" 1988 NA "Pimenta dioica" "W.D. Stevens" -88.97777 16.97 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3042643" 2006 NA "Pimenta dioica" "W.D. Stevens" -85.01666 13.65 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2496952" 1856 NA "Pimenta dioica" "L.R. Landrum" -76.9 20.86666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2279612" 1934 NA "Pimenta dioica" "Ronald Liesner" -88.31305 17.87833 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2279321" 1929 NA "Pimenta dioica" "Paldo E. Sanchez Vindas" -88.43333 18.03333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2279037" 1998 NA "Pimenta dioica" "" -89.05 16.61666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2278208" 1973 NA "Pimenta dioica" "" -88.66666 18.11666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2278171" 1992 NA "Pimenta dioica" "Juan J. Castillo M" -89.53305 17.69472 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2277808" 1959 NA "Pimenta dioica" "L. R. Landrum" -89.61305 17.225 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2277777" 1981 NA "Pimenta dioica" "" -89.15 17.01666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "2277734" 1981 NA "Pimenta dioica" "W. D. Stevens" -89.01666 16.9 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2277376" 1977 NA "Pimenta dioica" "Lundell" -89.35083 16.08111 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2277062" 1981 NA "Pimenta dioica" "W. D. Stevens" -89.05 16.85 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2276012" 1947 NA "Pimenta dioica" "Pablo E. Sanchez Vindas" -87.1125 14.59333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1891139" 1978 NA "Pimenta dioica" "" -84.83333 13.43333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1594161" 1993 NA "Pimenta dioica" "B.K. Holst" -88.85 16.51666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556780" 1987 NA "Pimenta dioica" "L.R. Landrum" -89 17.1 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556782" 1973 NA "Pimenta dioica" "P.E. Sanchez V." -88.98333 16.71666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1556781" 1973 NA "Pimenta dioica" "L.R. Landrum" -89.1 16.266667 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556754" 1980 NA "Pimenta dioica" "L.R. Landrum, 1981 (ASU)" -91.89527 14.91 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556755" 1941 NA "Pimenta dioica" "L.R. Landrum, 1983 (ASU)" -90.37083 15.47083 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556751" 1961 NA "Pimenta dioica" "B.R. Barrie" -89.52277 16.61 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1556676" 1982 NA "Pimenta dioica" "" -88.233333 15.15 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1556670" 1992 NA "Pimenta dioica" "L.R. Landrum, 1993 (ASU)" -89.06666 17.1 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556674" 1977 NA "Pimenta dioica" "L.R. Landrum, 1983 (ASU)" -87.45027 15.73333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556658" 1892 NA "Pimenta dioica" "L.R. Landrum, 1993 (ASU)" -90.28472 14.38166 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556672" 1985 NA "Pimenta dioica" "" -87.006111 14.010278 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1556668" 1991 NA "Pimenta dioica" "L.R. Landrum, 1993 (ASU)" -89.03333 17.1 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556665" 1989 NA "Pimenta dioica" "M.L. Kawasaki" -89.1 16.83333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1556664" 1976 NA "Pimenta dioica" "L.R. Landrum, 1993 (ASU)" -88.65 17.76666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1499203" 2000 NA "Pimenta dioica" "" -85.216667 12.966667 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1494842" 2000 NA "Pimenta dioica" "" -86.88333 12.43333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1491652" 1999 NA "Pimenta dioica" "" -86.3 13.2 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1441137" 1988 NA "Pimenta dioica" "L.R. Landrum, 1989 (ASU)" -89.000232 17.000726 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "1441146" 1989 NA "Pimenta dioica" "R. Villacorta, 1989 (LAGU)" -89.71666 13.83333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1441144" 1981 NA "Pimenta dioica" "" -87.86666 14.01666 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "1210296" 1981 NA "Pimenta dioica" "P.E. Sanchez V." -86.35 13.08333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "1099528" 1978 NA "Pimenta dioica" "P. Sanchez" -84.808333 13.65 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100734770" 2014 NA "Pimenta dioica" "Steven  Brewer" -89.14064 17.24054 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100734733" 2014 NA "Pimenta dioica" "Steven Brewer" -89.14344 17.25801 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100734525" 2014 NA "Pimenta dioica" "Merello & Ross" -89.14072 17.24088 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100734061" 2014 NA "Pimenta dioica" "Merello & Ross" -89.1477 17.2627 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100732219" 2014 NA "Pimenta dioica" "Merello & Ross" -89.141 17.24 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "100594901" 2002 NA "Pimenta dioica" "S.W. Brewer" -88.816667 16.533333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"NY" "NY" "86862" 1992 NA "Pimenta dioica" "L. R. Landrum" -89.07 17.1 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "86856" 1990 NA "Pimenta dioica" "M. L. Kawasaki" -89.07 17.08 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "1437789" 1987 NA "Pimenta dioica" "" -71.57 17.77 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "86859" 1989 NA "Pimenta dioica" "M. L. Kawasaki" -89.1 16.83 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"NY" "NY" "1437760" 1990 NA "Pimenta dioica" "" -69.58 18.8 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"NY" "NY" "86858" 1994 NA "Pimenta dioica" "M. H. Nee" -89.13 17.25 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"E" "E" "E00683998" 2002 NA "Pimenta dioica" "" -88.993889 16.73 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00619227" NA NA "Pimenta dioica" "" -88.983333 16.733333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"E" "E" "E00387495" 2006 NA "Pimenta dioica" "" -88.187778 18.206389 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"ntt" NA NA NA NA "Pimenta dioica" NA -74.2886 20.2933 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Pimenta dioica" NA -85.3447 10.7772 NA NA "BIEN" "6_no_criteria_met"
"MO" "MO" NA 1906 NA "Pimenta dioica" NA -98.33333 20.43333 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1984 NA "Pimenta dioica" NA -88.85 17.98 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1991 NA "Pimenta dioica" NA -104.98 19.38 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 2002 NA "Pimenta dioica" NA -89.26555 18.59972 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1982 NA "Pimenta dioica" NA -88.2333333 15.15 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"MO" "MO" NA 1984 NA "Pimenta dioica" NA -88.9 17.96 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"NY" "NY" NA 1994 NA "Pimenta dioica" NA -89.133 17.25 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
