"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB33847" 2014 "2014-09-09" "Plinia hatschbachii" "Barbosa, E" -48.7169444444444 -24.8602777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616926" 1969 NA "Plinia hatschbachii" "M. Sobral" -49.0552777777778 -25.3058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "DVPR" "DVPR002137" 2014 "2014-09-09" "Plinia hatschbachii" "Barboza, E." -48.43 -24.5136111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "NYBG_BR" "616926" 1969 NA "Plinia hatschbachii" "M. Sobral" -49.0553 -25.3058 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MBM" "392166" 2014 "2014-09-09" "Plinia hatschbachii" "Barboza, E" -48.716833 -24.860333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "56532" 2001 NA "Plinia hatschbachii" "G. Hatschbach, 2001" -49.1 -24.9667 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "FURB" "33847" 2014 "2014-09-09" "Plinia hatschbachii" "Barbosa, E" -48.7169445 -24.8602778 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SPSF" "36382" 2005 NA "Plinia hatschbachii" "" -48.407778 -24.634722 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "SPSF" "49898" 2014 "2014-09-09" "Plinia hatschbachii" "E.Barboza" -48.716944 -24.860278 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "SP" "321785" 1995 NA "Plinia hatschbachii" "Sobral, M" -48.414889 -24.962361 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"ntt" NA NA NA NA "Plinia hatschbachii" NA -49.1283 -24.9686 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Plinia hatschbachii" NA -48.7011 -25.4511 NA NA "BIEN" "6_no_criteria_met"
"NY" "NY" NA 1969 NA "Plinia hatschbachii" NA -49.05528 -25.30583 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"NY" "NY" NA 1969 NA "Plinia hatschbachii" NA -48.71167 -25.42861 "PRESERVED_SPECIMEN" NA "BIEN" "4_sci_colection"
"ntt" NA NA NA NA "Plinia hatschbachii" NA -49.0308 -25.2986 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Plinia hatschbachii" NA -48.3025 -25.2761 NA NA "BIEN" "6_no_criteria_met"
