"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01390812" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -42.9855555555556 -22.4522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390831" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -42.9916666666667 -22.4519444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390816" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -42.9936111111111 -22.4575 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390854" 2016 NA "Plinia martinellii" "L. F. Gonçalves" -42.9994444444444 -22.4927777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616927" 1986 NA "Plinia martinellii" "Sem determinador" -42.5311111111111 -22.2819444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"SPLINK" "MOBOT_BR" "3213112" 1986 NA "Plinia martinellii" "" -42.5 -22.55 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "NYBG_BR" "616927" 1986 NA "Plinia martinellii" "" -42.5311 -22.2819 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ALCB" "129626" 2005 NA "Plinia martinellii" "Sobral, M" -42.997222 -22.455278 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "RBR" "42331" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -43.0022222 -22.4869444 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RBR" "42332" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -42.9855555 -22.4522222 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RBR" "42333" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -43.0016667 -22.4744445 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "RBR" "42334" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -42.9916666 -22.4519444 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"JABOT" "RB" "768329" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -43.0022222222222 -22.4869444444444 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "768278" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -43.0044444444444 -22.4919444444444 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"JABOT" "RB" "768313" 2016 NA "Plinia martinellii" "L.F. Gonçalves" -43.0016666666667 -22.4744444444444 "PRESERVED_SPECIMEN" NA "JABOT" "2_taxonomist"
"ntt" NA NA NA NA "Plinia martinellii" NA -42.9503 -22.4544 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Plinia martinellii" NA -43.48 -22.5914 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Plinia martinellii" NA -42.5694 -22.4408 NA NA "BIEN" "6_no_criteria_met"
"ntt" NA NA NA NA "Plinia martinellii" NA -42.7317 -22.3628 NA NA "BIEN" "6_no_criteria_met"
