"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FURB" "FURB47580" 2015 "2015-09-30" "Plinia rivularis" "Oliveira, AA de" -53.2813888888889 -26.4611111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB51734" 2016 "2017-05-02" "Plinia rivularis" "M. Sobral" -49.0691666666667 -26.9127777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33841" 2009 NA "Plinia rivularis" "Sobral, M" -49.5030555555556 -27.3608333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33840" 2009 "2010-01-25" "Plinia rivularis" "Sobral, M" -53.3775 -26.4719444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB47866" NA NA "Plinia rivularis" "Selusniaki, M" -50.7069444444444 -24.1005555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33838" 1991 "1991-09-07" "Plinia rivularis" "Sobral, M" -49.2091666666667 -27.1141666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33837" 2000 NA "Plinia rivularis" "Sem determinador" -49.0877777777778 -27.0566666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01899269" 1980 NA "Plinia rivularis" "Sem determinador" -67.8333333333333 -10 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01366914" 1991 "1992-11-20" "Plinia rivularis" "G.M. Barroso" -42.0333333333333 -20.7666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UPCB" "UPCB0027637" NA "1992-01-01" "Plinia rivularis" "Holst, B.K." -57.4666666666667 -25.3333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNOP" "UNOP000922" 2014 "2014-04-28" "Plinia rivularis" "Aguiar, O.T." -53.5719444444444 -25.1825 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616935" 1997 NA "Plinia rivularis" "M. L. Kawasaki" -49.0855555555556 -24.9744444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000017120" 2007 NA "Plinia rivularis" "J. Cordeiro  |  E.D. Lozano" -52.3252777777778 -24.105 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000017116" 2015 "2015-12-09" "Plinia rivularis" "M.G. Caxambu" -53.9013888888889 -25.5719444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS188815" NA NA "Plinia rivularis" "M.Sobral" -39.0027777777778 -15.3388888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01016169" 1994 NA "Plinia rivularis" "Sem determinador" -51.1627777777778 -23.3105555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00533249" 1997 NA "Plinia rivularis" "L. H. Soares-Silva" -50.5533333333333 -23.5511111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UNOP" "UNOP008295" 2011 NA "Plinia rivularis" "Sem determinador" -53.4919444444444 -25.1422222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HCF" "HCF000017121" 2007 NA "Plinia rivularis" "J. Cordeiro  |  E.D. Lozano" -52.325 -24.1047222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01096254" 1993 NA "Plinia rivularis" "Sem determinador" -43.4508333333333 -22.7594444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00616770" 1973 NA "Plinia rivularis" "G. Jolochin" -51.4580555555556 -25.3955555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UNOP" "UNOP002555" 2014 "2014-10-16" "Plinia rivularis" "Aguiar, O.T." -53.5508333333333 -25.2138888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00616940" NA NA "Plinia rivularis" "B. K. Holst" -43.1847222222222 -22.5647222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000017117" 2015 "2015-10-25" "Plinia rivularis" "M.G. Caxambu" -53.8452777777778 -25.1541666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
