"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0015695" NA NA "Psidium appendiculatum" "P.P. de Oliveira" -39.7666666666667 -12.7166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000001563" 1992 NA "Psidium appendiculatum" "E.Nic Lughadha" -41.8 -13.3 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01103165" 1996 NA "Psidium appendiculatum" "M.SOBRAL" -39.7666666666667 -12.7 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS107672" NA NA "Psidium appendiculatum" "L.Landrum" -39.9127777777778 -10.2122222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS116309" NA NA "Psidium appendiculatum" "M.Sobral" -38.0833333333333 -9.48333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0023212" 2010 NA "Psidium appendiculatum" "Proença, C" -37.4102777777778 -9.48194444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS108075" NA NA "Psidium appendiculatum" "L.Landrum" -39.7936111111111 -12.7402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS092914" NA NA "Psidium appendiculatum" "L.Landrum" -39.9702777777778 -12.8402777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ASE" "ASE0024453" 2010 NA "Psidium appendiculatum" "Proença, C" -38.11 -10.4230555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01152123" 2016 NA "Psidium appendiculatum" "Sem determinador" -41.3141666666667 -11.0844444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01103149" 1996 NA "Psidium appendiculatum" "M.SOBRAL" -39.7666666666667 -12.7333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
