"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "MAC" "MAC0022010" 1995 NA "Psidium grandifolium" "Sem determinador" -49.5 -25.2852777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33747" 2011 NA "Psidium grandifolium" "Sem determinador" -47.5005555555556 -15.9347222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01196968" 2016 "2018-07-02" "Psidium grandifolium" "A.C.Tuler" -43.6202777777778 -19.3663888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000018466" 1987 NA "Psidium grandifolium" "E.Nic Lughadha" -41.93 -13.55 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01889611" 1966 NA "Psidium grandifolium" "Sem determinador" -48 -17 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00958052" 1971 NA "Psidium grandifolium" "L. R. Landrum" -47.5166666666667 -13.945 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000017144" 2013 "2013-10-15" "Psidium grandifolium" "M.G. Caxambu" -50.2561111111111 -24.5819444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00958081" 1965 NA "Psidium grandifolium" "L. R. Landrum" -47.6 -16.7952777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01317777" 2016 NA "Psidium grandifolium" "J.E.Q. Faria" -43.6069444444444 -18.2713888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00720681" 2010 NA "Psidium grandifolium" "Sem determinador" -43.7205555555556 -18.1472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00958050" 1968 NA "Psidium grandifolium" "L. R. Landrum" -43.8 -20.2 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01889614" 1964 NA "Psidium grandifolium" "Sem determinador" -51.7833333333333 -17.2 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00958084" 1965 NA "Psidium grandifolium" "L. R. Landrum" -48.8086111111111 -16.0319444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01017396" 1982 NA "Psidium grandifolium" "L. R. Landrum" -49.33 -25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00908464" NA NA "Psidium grandifolium" "L. R. Landrum" -51.82 -17.23 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "CEN" "CEN00018008" 1992 NA "Psidium grandifolium" "Jair Eustáquio Quintino Faria Junior" -48.4 -13.4833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "K" "K000018467" 1992 NA "Psidium grandifolium" "E.Nic Lughadha" -42.53 -14.03 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01182383" NA NA "Psidium grandifolium" "L. R. Landrum" -41.7780555555556 -12.2188888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
