"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "P" "P06647645" 1964 "1996-06-04" "Psidium kennedyanum" "C. Proença" -51.6833333333333 -20.7833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "CNMT" "6076" 2010 NA "Psidium kennedyanum" "Sobral, M." -57.665194 -17.732667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NHM-LONDON-BOT" "BM000796859" NA NA "Psidium kennedyanum" "Proença" -55.929878 -13.163117 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CPAP" "11350" 1988 NA "Psidium kennedyanum" "" -57.166667 -19.633333 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "CPAP" "18096" 1998 NA "Psidium kennedyanum" "R. Foster" -56.044444 -19.578333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "INPA" "233262" 2002 NA "Psidium kennedyanum" "Proença, CEB" -50.274444 -13.463889 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "8061" 1997 NA "Psidium kennedyanum" "L.R. Landrum, 1998." -46.8667 -17.2167 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "8064" 1988 NA "Psidium kennedyanum" "" -57.65 -19.0167 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "194374" 1999 NA "Psidium kennedyanum" "Proença, C" -55.7872 -20.4711 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ICN" "090087" 1987 NA "Psidium kennedyanum" "Sobral, M" -57 -19.683333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SP" "314434" 1964 "1996-07-04" "Psidium kennedyanum" "Proença, C" -51.683333 -20.783333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"FLAS" "" "189226" 1995 NA "Psidium kennedyanum" "" -59.441389 -18.173889 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"MO" "MO" "948286" 1994 NA "Psidium kennedyanum" "L.R. Landrum (ASU)" -57.88277 -25.05638 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "811553" 1994 NA "Psidium kennedyanum" "L.R. Landrum (ASU)" -57.85 -25.08333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "313985" 1990 NA "Psidium kennedyanum" "L.R. Landrum (ASU)" -57.5 -25.5 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "311100" 1993 NA "Psidium kennedyanum" "C. Proenca (UB)" -57.15 -26.36666 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "311025" 1993 NA "Psidium kennedyanum" "C. Proenca (UB)" -57.733333 -25.733333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "308210" 1990 NA "Psidium kennedyanum" "L.R. Landrum (ASU)" -57.3 -25.13333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "308081" 1990 NA "Psidium kennedyanum" "L.R. Landrum (ASU)" -56.66666 -25.33333 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"G" "Geneva Herbarium – General Collection (G)" "G-G-50237/1" NA NA "Psidium kennedyanum" "" -57.85 -23.78333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-50234/1" NA NA "Psidium kennedyanum" "" -56.45 -25.78333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-50239/2" NA NA "Psidium kennedyanum" "" -57.36667 -25.63333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-50233/3" NA NA "Psidium kennedyanum" "" -57.43333 -23.43333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-50236/1" NA NA "Psidium kennedyanum" "" -59 -24 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-57321/1" NA NA "Psidium kennedyanum" "" -57.73333 -23.03333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-57320/1" 1990 NA "Psidium kennedyanum" "" -56.78333 -25.2 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
"G" "Geneva Herbarium – General Collection (G)" "G-G-50235/1" NA NA "Psidium kennedyanum" "" -57.56667 -25.38333 "PRESERVED_SPECIMEN" NA "GBIF" "4_sci_colection"
