"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "CEN" "CEN00016881" 1991 NA "Psidium myrsinites" "Jair Eustáquio Quintino Faria Junior" -44.6333333333333 -13.3666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01182387" NA NA "Psidium myrsinites" "L. R. Landrum" -48.7819444444444 -15.85 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01205775" 2016 NA "Psidium myrsinites" "M.SOBRAL" -47.9388888888889 -15.5733333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "ESA" "ESA089673" NA NA "Psidium myrsinites" "Proença, C." -48.8938888888889 -15.8169444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01182174" 1981 NA "Psidium myrsinites" "L. R. Landrum" -47.9 -15.95 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01182360" NA NA "Psidium myrsinites" "L. R. Landrum" -47.8238888888889 -15.8 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00917818" 1981 NA "Psidium myrsinites" "M. L. Kawasaki" -47.33 -6.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS126582" NA NA "Psidium myrsinites" "Sem determinador" -44.1972222222222 -14.2347222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01182364" NA NA "Psidium myrsinites" "L. R. Landrum" -47.5816666666667 -14.1166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS081862" NA NA "Psidium myrsinites" "Sem determinador" -41.6833333333333 -5.21666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY01182388" NA NA "Psidium myrsinites" "L. R. Landrum" -48.45 -14.5855555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS094443" NA NA "Psidium myrsinites" "L.Landrum" -44.5041666666667 -13.5569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01182376" NA NA "Psidium myrsinites" "L. R. Landrum" -46.9947222222222 -18.9408333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
