"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "BRBA" "BRBA002735" 2000 NA "Psidium nutans" "Sobral,M." -41.4880555555556 -12.4522222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "NHM-LONDON-BOT" "BM000796904" NA NA "Psidium nutans" "Proença" -42.572108 -7.256631 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CPAP" "1060" 1985 NA "Psidium nutans" "A. Pott" -56.65 -18.983333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "CPAP" "7092" 1989 NA "Psidium nutans" "J. R. de Mattos" -56.916667 -17 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "CPAP" "8955" 1991 NA "Psidium nutans" "J. R. de Mattos" -56.433333 -16.166667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "8003" 1997 NA "Psidium nutans" "" -44.4867 -14.9628 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "8007" 2000 NA "Psidium nutans" "M. Sobral, Mar/2004." -41.4881 -12.4522 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "IPA" "87253" 2000 NA "Psidium nutans" "Sobral, M." -41.488056 -12.452222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "15972" 2005 NA "Psidium nutans" "Proença, CEB" -47.633333 -7.316667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "15973" 2005 NA "Psidium nutans" "Proença, CEB" -47.466667 -6.583333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "183582" 2012 NA "Psidium nutans" "" -49.197353 -13.148628 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "184037" 2012 NA "Psidium nutans" "Proença, CEB" -48.991389 -11.417222 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "9393" 2000 NA "Psidium nutans" "Proença, CEB" -45.883333 -16.116667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "9520" 2000 NA "Psidium nutans" "Proença, CEB" -45.116667 -16.35 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "9637" 2000 NA "Psidium nutans" "Proença, CEB" -45.066667 -16.366667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "HUFSJ" "3341" 2003 NA "Psidium nutans" "Sobral, M" -38.4225 -12.185556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ICN" "066327" 1983 NA "Psidium nutans" "Sobral, M" -56.5 -22.166667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ICN" "090094" 1986 NA "Psidium nutans" "Sobral, M" -56.716667 -18.916667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"UFSJ" "HUFSJ" "6212" 2010 NA "Psidium nutans" "Sobral, M" -51.822222 -15.426944 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
