"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "ASE" "ASE0028212" 1987 "2012-10-31" "Psidium oligospermum" "Proença, C" -37.1222222222222 -11.0052777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0020410" 2004 NA "Psidium oligospermum" "E.C.O.Chagas" -36.2852777777778 -10.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0022160" 2005 "2009-03-29" "Psidium oligospermum" "E.C.O.Chagas" -36.2769444444444 -10.0152777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0017528" 2001 NA "Psidium oligospermum" "E.C.O.Chagas" -37.1030555555556 -10.2569444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0045057" 2009 "2009-11-28" "Psidium oligospermum" "E.C.O.Chagas" -36.4022222222222 -9.62055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0024582" 2006 "2009-03-29" "Psidium oligospermum" "E.C.O.Chagas" -36.8091666666667 -10.5591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0038872" 2006 NA "Psidium oligospermum" "M.Sobral" -35.9166666666667 -5.78527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0044297" 2009 NA "Psidium oligospermum" "M.Sobral" -36.2019444444445 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0050301" 2010 "2010-11-12" "Psidium oligospermum" "E.C.O.Chagas" -36.3925 -9.97583333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0031740" 2008 NA "Psidium oligospermum" "M.Sobral" -35.8766666666667 -9.77972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0046143" 2010 "2010-02-06" "Psidium oligospermum" "E.C.O.Chagas" -36.8091666666667 -10.0591666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0032269" 2008 NA "Psidium oligospermum" "E.C.O.Chagas" -37.0833333333333 -10.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0023782" 2005 NA "Psidium oligospermum" "E.C.O.Chagas" -36.4294444444444 -9.88055555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0058152" 2015 NA "Psidium oligospermum" "M.I.U.Oliveira" -36.6558333333333 -9.75416666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0039687" 2009 NA "Psidium oligospermum" "Sem determinador" -35.5291666666667 -9.15666666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0031055" 2007 NA "Psidium oligospermum" "M.Sobral" -37.6425 -10.6186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0046755" 2007 NA "Psidium oligospermum" "A.V.Santos" -37.5833333333333 -10.9758333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "MAC" "MAC0056035" 2011 NA "Psidium oligospermum" "M.Sobral" -35.805 -9.66638888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0020926" 2004 NA "Psidium oligospermum" "M.Sobral" -36.3788888888889 -9.9425 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0001595" 1981 NA "Psidium oligospermum" "M.Sobral" -36.8686111111111 -10.2258333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0049093" 2010 "2010-08-20" "Psidium oligospermum" "E.C.O.Chagas" -36.8333333333333 -10.1186111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "MAC" "MAC0055799" 2010 NA "Psidium oligospermum" "Sem determinador" -38.0833333333333 -11.5366666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
