"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUEFS" "HUEFS107876" NA NA "Psidium rhombeum" "F.H.F.Nascimento" -42.9077777777778 -10.1413888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS078990" NA NA "Psidium rhombeum" "L.R.Landrum" -41.1519444444444 -9.41472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00141366" 1999 NA "Psidium rhombeum" "Proença, C" -40.52 -19.51 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS159457" NA NA "Psidium rhombeum" "A.Stadnik" -42.4663888888889 -14.5697222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS083585" NA NA "Psidium rhombeum" "L.Landrum" -38.3 -9.33333333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS166152" NA NA "Psidium rhombeum" "A.Stadnik" -41.25 -11.9166666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "G" "G00227662" NA "1964-01-01" "Psidium rhombeum" "McVaugh, R." -41.99722222 -12.18305556 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "57058" 2003 NA "Psidium rhombeum" "" -41.1519444 -9.4147222 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "8241" 1984 NA "Psidium rhombeum" "" -40.8667 -14.45 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASU-PLANTS" "8243" 2004 NA "Psidium rhombeum" "L. R. Landrum, 2007" -38.3 -9.33333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "F_BOTANY_BR" "V0076392F" NA NA "Psidium rhombeum" "" -42 -11 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "UB" "161951" 2010 NA "Psidium rhombeum" "Proença, CEB" -43.369444 -19.886944 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "UB" "168065" 1999 NA "Psidium rhombeum" "" -40.866667 -19.85 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "ASE" "28203" 2010 "2017-10-06" "Psidium rhombeum" "Ibrahim, M" -36.186861 -8.239361 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
