"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "RB" "RB01390807" 2016 NA "Psidium sartorianum" "L.F. Gonçalves" -43.0083333333333 -22.4691666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390971" 2017 NA "Psidium sartorianum" "L.F. Gonçalves" -43.0097222222222 -22.4683333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "ASE" "ASE0027065" 2011 NA "Psidium sartorianum" "Proença, C" -37.2430555555556 -10.02 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "UFRN" "UFRN00022042" 2016 NA "Psidium sartorianum" "Guedes, M.L." -41 -12 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "K" "K000018472" 1992 NA "Psidium sartorianum" "L.R.Landrum" -38.83 -12.25 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00866758" 1991 NA "Psidium sartorianum" "L. R. Landrum" -67.8097222222222 -9.97472222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01092742" 1991 NA "Psidium sartorianum" "M. L. Kawasaki" -38.9666666666667 -12.2669444444444 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01040396" 2015 NA "Psidium sartorianum" "Sem determinador" -41.8113888888889 -21.7438888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00617050" 1994 NA "Psidium sartorianum" "L. R. Landrum" -69.03 -9.67 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY01198097" 1994 NA "Psidium sartorianum" "M. L. Kawasaki" -37.4480555555556 -11.3508333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUFU" "HUFU00018375" NA NA "Psidium sartorianum" "Sem determinador" -48.2238888888889 -18.2927777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
