"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "HUENF" "HUENF00010895" 2011 NA "Siphoneugena densiflora" "Sem determinador" -41.4480555555556 -21.7972222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB01390840" 2016 NA "Siphoneugena densiflora" "L.F. Gonçalves" -43.0019444444444 -22.4925 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00907608" NA NA "Siphoneugena densiflora" "M. Sobral" -47.82 -15.65 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HUEFS" "HUEFS083944" NA NA "Siphoneugena densiflora" "V.V.Mecenas" -48.1630555555556 -15.5108333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "HUEFS" "HUEFS184123" NA NA "Siphoneugena densiflora" "J.E.Q.Faria" -43.5069444444444 -19.2175 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB01181471" 2016 "2017-04-12" "Siphoneugena densiflora" "Marcelo da Costa Souza" -42.4994444444444 -22.4477777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907638" 1980 NA "Siphoneugena densiflora" "C. E. B. Proença" -47.9880555555556 -15.9483333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "SPF" "SPF00114623" 1994 NA "Siphoneugena densiflora" "Santos, MF" -47.1538888888889 -21.0861111111111 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907610" 1964 NA "Siphoneugena densiflora" "C. E. B. Proença" -48.13 -15.9 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00907637" 1979 NA "Siphoneugena densiflora" "C. E. B. Proença" -47.9502777777778 -16.2527777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
