"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"MO" "MO" "996679" 1995 NA "Siphoneugena occidentalis" "B.K. Holst (SEL)" -60.38861 -14.81527 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "966252" 1995 NA "Siphoneugena occidentalis" "B. Holst" -64.37444 -20.83027 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "934805" 1993 NA "Siphoneugena occidentalis" "B.K. Holst (SEL)" -62.05 -14.41666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3581612" 2005 NA "Siphoneugena occidentalis" "B.K. Holst (SEL)" -64.666667 -18.25 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3432437" 2006 NA "Siphoneugena occidentalis" "M. Serrano (HSB)" -63.91583 -19.72861 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3402886" 2004 NA "Siphoneugena occidentalis" "M. Serrano" -64.57944 -22.20722 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3329494" 2003 NA "Siphoneugena occidentalis" "M. Serrano (HSB)" -63.89583 -19.57833 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3302556" 2007 NA "Siphoneugena occidentalis" "A. Fuentes (LPB)" -68.931389 -14.598055 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3295070" 2000 NA "Siphoneugena occidentalis" "B.K. Holst (SEL)" -63.95 -19.8 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3293892" 2007 NA "Siphoneugena occidentalis" "A. Fuentes (LPB)" -68.876389 -14.578056 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3286185" 2005 NA "Siphoneugena occidentalis" "B.K. Holst (SEL)" -63.706389 -18.196389 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "3249747" 2005 NA "Siphoneugena occidentalis" "M. Serrano (HSB)" -64.043055 -20.339167 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3218051" 2005 NA "Siphoneugena occidentalis" "H. Huaylla" -64.10527 -19.32055 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "3142632" 2006 NA "Siphoneugena occidentalis" "A. Fuentes (LPB)" -68.586944 -14.783333 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "313267" 1984 NA "Siphoneugena occidentalis" "B. Holst (MO)" -67.58333 -15.91666 "PRESERVED_SPECIMEN" NA "GBIF" "1_det_by_spec"
"MO" "MO" "2840222" 2005 NA "Siphoneugena occidentalis" "A. Fuentes (LPB)" -68.63972 -14.19861 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2765805" 2005 NA "Siphoneugena occidentalis" "A. Fuentes (LPB)" -68.86194 -14.57888 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2707588" 2005 NA "Siphoneugena occidentalis" "A. Fuentes (LPB)" -68.685833 -14.551389 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
"MO" "MO" "2696104" 2005 NA "Siphoneugena occidentalis" "A. Fuentes (LPB)" -68.43444 -14.98361 "PRESERVED_SPECIMEN" NA "GBIF" "2_taxonomist"
