"institutionCode" "collectionCode" "catalogNumber" "year" "dateIdentified" "species" "identifiedBy" "decimalLongitude" "decimalLatitude" "basisOfRecord" "mediaType" "occurrenceID" "naturaList_levels"
"REFLORA" "FLOR" "FLOR0063858" 2014 "2014-08-21" "Siphoneugena reitzii" "Brotto, M.L." -48.8727777777778 -25.9397222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33720" 2009 NA "Siphoneugena reitzii" "Sobral, M" -49.86 -27.9 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33727" 2013 "2013-03-04" "Siphoneugena reitzii" "Grizzon, M" -50.3666666666667 -29.0852777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "CRI" "CRI011640" 2009 "2009-07-17" "Siphoneugena reitzii" "Sobral, M" -49.5911111111111 -28.0825 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33719" 2011 "2011-03-09" "Siphoneugena reitzii" "Verdi, M" -49.6808333333333 -28.6188888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "FURB" "FURB33718" 2010 NA "Siphoneugena reitzii" "Sobral, M" -48.9566666666667 -25.8902777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "FURB" "FURB33726" 2009 "2009-07-17" "Siphoneugena reitzii" "Sobral, M" -51.5930555555556 -26.3058333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "US" "US01899327" 1964 NA "Siphoneugena reitzii" "Sem determinador" -51.3666666666667 -26.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00617075" 1967 NA "Siphoneugena reitzii" "M. Sobral" -48.8297222222222 -25.2413888888889 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00617079" 1966 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -51.3155555555556 -26.4275 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00617080" 1968 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -52.4158333333333 -25.4080555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000017175" 2013 "2013-11-14" "Siphoneugena reitzii" "P. Larocca" -49.0055555555556 -25.4552777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01899324" 1964 NA "Siphoneugena reitzii" "Sem determinador" -52.2333333333333 -26.85 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "RB" "RB00993525" 2014 NA "Siphoneugena reitzii" "E.D. Lozano" -48.8547222222222 -25.6102777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00617074" NA NA "Siphoneugena reitzii" "M. Sobral" -50.1433333333333 -29.0477777777778 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00617070" 1989 NA "Siphoneugena reitzii" "G. G. Hatschbach" -49.0766666666667 -25.3658333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "US" "US01899325" 1964 NA "Siphoneugena reitzii" "Sem determinador" -52.1833333333333 -26.9833333333333 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00617076" 1964 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -52.18 -26.98 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00617082" 1968 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -49.1322222222222 -27.025 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RON" "RON00005597" 2012 "2012-06-05" "Siphoneugena reitzii" "Grizzon, M" -50.5538888888889 -28.5725 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00617083" 1959 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -49.9316666666667 -28.2941666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00617071" 1964 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -51.37 -26.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HDCF" "HDCF006874" 2015 "2015-03-25" "Siphoneugena reitzii" "Figueira, M." -50.04 -28.98 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00617081" 1964 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -52.2602777777778 -26.8530555555556 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "HCF" "HCF000016812" 2014 "2016-04-13" "Siphoneugena reitzii" "O.T. Aguiar" -48.7983333333333 -25.0691666666667 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "NY" "NY00617072" 1958 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -49.2655555555556 -26.1925 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"REFLORA" "RB" "RB00912611" 2014 "2014-08-21" "Siphoneugena reitzii" "M.L. Brotto" -48.8727777777778 -25.4397222222222 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0027323" 2009 "2009-05-16" "Siphoneugena reitzii" "Völtz, R.R." -48 -25 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "NY" "NY00405572" 1964 NA "Siphoneugena reitzii" "Sem determinador" -46.3 -23.75 "PRESERVED_SPECIMEN" NA "REFLORA" "2_taxonomist"
"REFLORA" "UPCB" "UPCB0027320" 2007 "2008-12-22" "Siphoneugena reitzii" "Santos, E.P. & Moraes, E.N." -49.05 -25.75 "PRESERVED_SPECIMEN" NA "REFLORA" "1_det_by_spec"
"SPLINK" "HDCF" "6303" 2010 "2010-02-10" "Siphoneugena reitzii" "Figueira, M." -50.386667 -29.423333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MOBOT_BR" "3215131" NA NA "Siphoneugena reitzii" "M. Sobral, Ago" -51.6 -28.78333 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "MOBOT_BR" "3216038" 1964 NA "Siphoneugena reitzii" "C.D. Legrand" -51.36666 -26.75 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "617070" 1989 NA "Siphoneugena reitzii" "G. G. Hatschbach" -49.0767 -25.3658 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "NYBG_BR" "617072" 1958 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -49.2656 -26.1925 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "617073" 1966 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -51.3156 -26.4275 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "617074" NA NA "Siphoneugena reitzii" "M. Sobral" -50.143208 -29.047894 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "617075" 1967 NA "Siphoneugena reitzii" "M. Sobral" -48.829656 -25.241299 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "617080" 1968 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -52.4158 -25.4081 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "617081" 1964 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -52.2603 -26.8531 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "617082" 1968 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -49.132229 -27.025081 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "NYBG_BR" "617083" 1959 NA "Siphoneugena reitzii" "C. M. D. E. Legrand" -49.9317 -28.2942 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "SINBIOTA" "31550003" NA NA "Siphoneugena reitzii" "" -46.732201 -23.988001 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "IRAI" "7289" 2011 "2012-06-05" "Siphoneugena reitzii" "Grizzon, M." -50.433333 -28.515 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MBM" "386171" 2013 "2013-11-14" "Siphoneugena reitzii" "Larocca, P" -49.005667 -25.455214 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MBM" "391616" 2014 "2014-08-21" "Siphoneugena reitzii" "Brotto, ML" -48.872778 -25.939722 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MBM" "394326" 2014 NA "Siphoneugena reitzii" "Lozano, ED" -48.854639 -25.610167 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "MBM" "394751" 2012 "2012-06-05" "Siphoneugena reitzii" "Grizzon, M" -50.927236 -28.95705 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "15660" 1986 NA "Siphoneugena reitzii" "M. Sobral, 1986." -49.0833 -25.3667 "PRESERVED_SPECIMEN" NA "SPLINK" "1_det_by_spec"
"SPLINK" "ASU-PLANTS" "15662" 1993 NA "Siphoneugena reitzii" "N. Silveira, 1993." -50.15 -29.0333 "PRESERVED_SPECIMEN" NA "SPLINK" "2_taxonomist"
"SPLINK" "ASU-PLANTS" "15664" 1969 NA "Siphoneugena reitzii" "" -51.45617 -25.393527 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "F_BOTANY_BR" "V0349178F" 1968 NA "Siphoneugena reitzii" "RRC ID Flag" -51 -24 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
"SPLINK" "BHCB" "162801" 2007 "2007-04-05" "Siphoneugena reitzii" "" -49.87 -27.918889 "PRESERVED_SPECIMEN" NA "SPLINK" "4_sci_colection"
